win,lose,probability
Cleveland Cavaliers,Boston Celtics,0.6211568098872522
Golden State Warriors,Houston Rockets,0.791630560900507
Boston Celtics,Milwaukee Bucks,0.6573134753998846
Atlanta Hawks,Dallas Mavericks,0.5044015344951708
Detroit Pistons,Charlotte Hornets,0.5012209504396347
Indiana Pacers,Brooklyn Nets,0.713307840761993
Memphis Grizzlies,New Orleans Pelicans,0.5882172425398067
Miami Heat,Orlando Magic,0.7220686099499907
Portland Trail Blazers,Phoenix Suns,0.7655002731124094
Houston Rockets,Sacramento Kings,0.7006818589947459
San Antonio Spurs,Minnesota Timberwolves,0.8119617981470058
Utah Jazz,Denver Nuggets,0.6867504762928007
Washington Wizards,Philadelphia 76ers,0.8546569548786542
Los Angeles Clippers,Los Angeles Lakers,0.7342878201322746
Oklahoma City Thunder,New York Knicks,0.68303541781541
Toronto Raptors,Chicago Bulls,0.6044510694698586
Orlando Magic,Brooklyn Nets,0.51496810700872
Atlanta Hawks,Charlotte Hornets,0.504727613050374
Dallas Mavericks,Sacramento Kings,0.5716515873713118
Portland Trail Blazers,Indiana Pacers,0.5531792725447837
Cleveland Cavaliers,Milwaukee Bucks,0.6174167268161039
Utah Jazz,Minnesota Timberwolves,0.7268775788623136
Golden State Warriors,New Orleans Pelicans,0.8572202553477897
Boston Celtics,Philadelphia 76ers,0.7585348842619594
Los Angeles Lakers,Phoenix Suns,0.5974761727694907
Washington Wizards,Detroit Pistons,0.8106887567181821
San Antonio Spurs,Chicago Bulls,0.6066826378062755
Cleveland Cavaliers,Orlando Magic,0.8405355388356462
Denver Nuggets,Sacramento Kings,0.6278322857519967
Houston Rockets,Dallas Mavericks,0.7527848031854075
Los Angeles Clippers,Phoenix Suns,0.836521180780811
Golden State Warriors,Memphis Grizzlies,0.8328694590426536
Miami Heat,Indiana Pacers,0.6690354128170325
Milwaukee Bucks,Portland Trail Blazers,0.5309900767991492
New York Knicks,Detroit Pistons,0.5214394967347744
Toronto Raptors,Philadelphia 76ers,0.8035893177365181
Utah Jazz,Oklahoma City Thunder,0.6472113466741786
Atlanta Hawks,Brooklyn Nets,0.6504001647894848
New Orleans Pelicans,Los Angeles Lakers,0.549580306039995
Oklahoma City Thunder,Minnesota Timberwolves,0.7044103353852427
Golden State Warriors,Dallas Mavericks,0.8656397379932974
Washington Wizards,Denver Nuggets,0.5820955371703942
Detroit Pistons,Philadelphia 76ers,0.6188248735229287
Houston Rockets,Memphis Grizzlies,0.7365493370769586
Miami Heat,Atlanta Hawks,0.6541471852799094
Milwaukee Bucks,Charlotte Hornets,0.6599085425921848
Sacramento Kings,Phoenix Suns,0.6236257873449781
