WTeam,LTeam,WLoc
Boston Celtics,Miami Heat,H
Los Angeles Lakers,Houston Rockets,H
Portland Trail Blazers,Phoenix Suns,H
Cleveland Cavaliers,Boston Celtics,H
Dallas Mavericks,Charlotte Hornets,H
Denver Nuggets,Utah Jazz,H
Golden State Warriors,Houston Rockets,H
Portland Trail Blazers,Los Angeles Clippers,V
Atlanta Hawks,Memphis Grizzlies,V
Sacramento Kings,Minnesota Timberwolves,V
Brooklyn Nets,Detroit Pistons,H
New Orleans Pelicans,Milwaukee Bucks,H
Oklahoma City Thunder,Chicago Bulls,H
Miami Heat,Philadelphia 76ers,V
San Antonio Spurs,Indiana Pacers,H
New York Knicks,Toronto Raptors,V
Orlando Magic,Washington Wizards,H
Phoenix Suns,Utah Jazz,V
Boston Celtics,New York Knicks,H
Indiana Pacers,Charlotte Hornets,V
Memphis Grizzlies,Dallas Mavericks,V
Oklahoma City Thunder,Detroit Pistons,V
Golden State Warriors,Los Angeles Clippers,H
Miami Heat,Orlando Magic,H
Minnesota Timberwolves,Milwaukee Bucks,H
Brooklyn Nets,Sacramento Kings,H
New Orleans Pelicans,Denver Nuggets,H
Atlanta Hawks,Philadelphia 76ers,V
Los Angeles Lakers,Phoenix Suns,V
Toronto Raptors,Cleveland Cavaliers,H
Atlanta Hawks,Washington Wizards,H
Chicago Bulls,Detroit Pistons,H
Sacramento Kings,Cleveland Cavaliers,V
Denver Nuggets,Houston Rockets,V
Indiana Pacers,Philadelphia 76ers,H
Memphis Grizzlies,Minnesota Timberwolves,H
Milwaukee Bucks,Charlotte Hornets,H
Portland Trail Blazers,New York Knicks,V
New Orleans Pelicans,San Antonio Spurs,V
Dallas Mavericks,Los Angeles Clippers,V
Los Angeles Lakers,Golden State Warriors,H
Miami Heat,Brooklyn Nets,V
Utah Jazz,Oklahoma City Thunder,V
Chicago Bulls,Portland Trail Blazers,H
San Antonio Spurs,Los Angeles Clippers,V
Sacramento Kings,Toronto Raptors,H
Atlanta Hawks,Cleveland Cavaliers,V
Boston Celtics,Detroit Pistons,V
Los Angeles Lakers,Memphis Grizzlies,H
Miami Heat,Minnesota Timberwolves,H
Portland Trail Blazers,Milwaukee Bucks,V
Washington Wizards,Philadelphia 76ers,H
Atlanta Hawks,Detroit Pistons,H
Boston Celtics,Milwaukee Bucks,H
Dallas Mavericks,Denver Nuggets,V
Golden State Warriors,Memphis Grizzlies,H
New Orleans Pelicans,Houston Rockets,V
