Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Wed Nov 3 2010,7:00 pm,Indiana Pacers,75,Philadelphia 76ers,101,Box Score,,12277,
Wed Nov 3 2010,7:00 pm,San Antonio Spurs,112,Phoenix Suns,110,Box Score,,17060,
Wed Nov 3 2010,7:30 pm,Los Angeles Lakers,112,Sacramento Kings,100,Box Score,,16113,
Wed Nov 3 2010,7:00 pm,Toronto Raptors,108,Utah Jazz,125,Box Score,,17802,
Thu Nov 4 2010,7:00 pm,New York Knicks,120,Chicago Bulls,112,Box Score,,21203,
Thu Nov 4 2010,7:30 pm,Oklahoma City Thunder,107,Portland Trail Blazers,106,Box Score,OT,20611,
Fri Nov 5 2010,8:00 pm,Chicago Bulls,105,Boston Celtics,110,Box Score,OT,18624,
Fri Nov 5 2010,8:30 pm,Los Angeles Clippers,104,Denver Nuggets,111,Box Score,,15559,
Fri Nov 5 2010,7:30 pm,Charlotte Bobcats,90,Detroit Pistons,97,Box Score,,13291,
Fri Nov 5 2010,7:30 pm,Utah Jazz,78,Golden State Warriors,85,Box Score,,17902,
Fri Nov 5 2010,7:00 pm,Milwaukee Bucks,94,Indiana Pacers,90,Box Score,,14115,
Fri Nov 5 2010,7:30 pm,Toronto Raptors,103,Los Angeles Lakers,108,Box Score,,18997,
Fri Nov 5 2010,7:00 pm,Atlanta Hawks,113,Minnesota Timberwolves,103,Box Score,,17222,
Fri Nov 5 2010,7:00 pm,Miami Heat,93,New Orleans Hornets,96,Box Score,,17988,
Fri Nov 5 2010,7:30 pm,Washington Wizards,91,New York Knicks,112,Box Score,,19763,
Fri Nov 5 2010,7:00 pm,New Jersey Nets,90,Orlando Magic,105,Box Score,,18846,
Fri Nov 5 2010,7:00 pm,Cleveland Cavaliers,123,Philadelphia 76ers,116,Box Score,,10589,
Fri Nov 5 2010,7:00 pm,Memphis Grizzlies,118,Phoenix Suns,123,Box Score,2OT,16470,
Sat Nov 6 2010,7:00 pm,Orlando Magic,91,Charlotte Bobcats,88,Box Score,,18136,
Sat Nov 6 2010,8:00 pm,Denver Nuggets,103,Dallas Mavericks,92,Box Score,,19948,
Sat Nov 6 2010,7:30 pm,New Jersey Nets,89,Miami Heat,101,Box Score,,19600,
Sat Nov 6 2010,7:30 pm,New Orleans Hornets,87,Milwaukee Bucks,81,Box Score,,16731,
Sat Nov 6 2010,7:00 pm,Toronto Raptors,84,Portland Trail Blazers,97,Box Score,,20363,
Sat Nov 6 2010,7:00 pm,Memphis Grizzlies,100,Sacramento Kings,91,Box Score,,14085,
Sat Nov 6 2010,7:30 pm,Houston Rockets,121,San Antonio Spurs,124,Box Score,OT,17740,
Sat Nov 6 2010,7:00 pm,Los Angeles Clippers,107,Utah Jazz,109,Box Score,2OT,19911,
Sat Nov 6 2010,7:00 pm,Cleveland Cavaliers,107,Washington Wizards,102,Box Score,,14442,
Sun Nov 7 2010,5:00 pm,Phoenix Suns,118,Atlanta Hawks,114,Box Score,,13395,
Sun Nov 7 2010,6:00 pm,Golden State Warriors,97,Detroit Pistons,102,Box Score,,12813,
Sun Nov 7 2010,6:00 pm,Minnesota Timberwolves,94,Houston Rockets,120,Box Score,,15058,
Sun Nov 7 2010,6:30 pm,Portland Trail Blazers,96,Los Angeles Lakers,121,Box Score,,18997,
Sun Nov 7 2010,12:00 pm,Philadelphia 76ers,106,New York Knicks,96,Box Score,,18735,
Sun Nov 7 2010,6:00 pm,Boston Celtics,92,Oklahoma City Thunder,83,Box Score,,18203,
Mon Nov 8 2010,7:00 pm,San Antonio Spurs,95,Charlotte Bobcats,91,Box Score,,14152,
Mon Nov 8 2010,7:00 pm,Denver Nuggets,92,Chicago Bulls,94,Box Score,,21355,
Mon Nov 8 2010,7:30 pm,Boston Celtics,87,Dallas Mavericks,89,Box Score,,20194,
Mon Nov 8 2010,7:00 pm,Phoenix Suns,99,Memphis Grizzlies,109,Box Score,,10786,
Mon Nov 8 2010,7:00 pm,Atlanta Hawks,89,Orlando Magic,93,Box Score,,18846,
Mon Nov 8 2010,7:00 pm,Golden State Warriors,109,Toronto Raptors,102,Box Score,,14127,
Tue Nov 9 2010,7:00 pm,Denver Nuggets,113,Indiana Pacers,144,Box Score,,11122,
Tue Nov 9 2010,7:30 pm,Minnesota Timberwolves,94,Los Angeles Lakers,99,Box Score,,18997,
Tue Nov 9 2010,7:30 pm,Utah Jazz,116,Miami Heat,114,Box Score,OT,19600,
Tue Nov 9 2010,7:00 pm,New York Knicks,80,Milwaukee Bucks,107,Box Score,,13286,
Tue Nov 9 2010,7:00 pm,Cleveland Cavaliers,93,New Jersey Nets,91,Box Score,,10188,
Tue Nov 9 2010,7:00 pm,Los Angeles Clippers,82,New Orleans Hornets,101,Box Score,,12479,
Tue Nov 9 2010,7:00 pm,Detroit Pistons,78,Portland Trail Blazers,100,Box Score,,20556,
Wed Nov 10 2010,7:00 pm,Milwaukee Bucks,108,Atlanta Hawks,91,Box Score,,11211,
Wed Nov 10 2010,7:30 pm,New Jersey Nets,95,Cleveland Cavaliers,87,Box Score,,20562,
Wed Nov 10 2010,7:00 pm,Dallas Mavericks,106,Memphis Grizzlies,91,Box Score,,10767,
Wed Nov 10 2010,7:30 pm,Golden State Warriors,122,New York Knicks,117,Box Score,,19763,
Wed Nov 10 2010,7:00 pm,Philadelphia 76ers,103,Oklahoma City Thunder,109,Box Score,,18203,
Wed Nov 10 2010,7:00 pm,Utah Jazz,104,Orlando Magic,94,Box Score,,18846,
Wed Nov 10 2010,7:00 pm,Minnesota Timberwolves,98,Sacramento Kings,89,Box Score,,12433,
Wed Nov 10 2010,8:30 pm,Los Angeles Clippers,95,San Antonio Spurs,107,Box Score,,17309,
Wed Nov 10 2010,7:00 pm,Charlotte Bobcats,101,Toronto Raptors,96,Box Score,,14309,
Wed Nov 10 2010,7:00 pm,Houston Rockets,91,Washington Wizards,98,Box Score,,13665,
Thu Nov 11 2010,7:00 pm,Golden State Warriors,90,Chicago Bulls,120,Box Score,,21140,
Thu Nov 11 2010,8:30 pm,Los Angeles Lakers,112,Denver Nuggets,118,Box Score,,19155,
Thu Nov 11 2010,8:00 pm,Boston Celtics,112,Miami Heat,107,Box Score,,19650,
Fri Nov 12 2010,7:00 pm,Utah Jazz,90,Atlanta Hawks,86,Box Score,,17069,
Fri Nov 12 2010,7:30 pm,Philadelphia 76ers,90,Dallas Mavericks,99,Box Score,,19989,
Fri Nov 12 2010,7:00 pm,Houston Rockets,102,Indiana Pacers,99,Box Score,,14414,
Fri Nov 12 2010,7:30 pm,Detroit Pistons,113,Los Angeles Clippers,107,Box Score,OT,16960,
Fri Nov 12 2010,7:00 pm,New York Knicks,103,Minnesota Timberwolves,112,Box Score,,15232,
Fri Nov 12 2010,8:30 pm,Portland Trail Blazers,108,Oklahoma City Thunder,110,Box Score,,18203,
Fri Nov 12 2010,7:00 pm,Toronto Raptors,110,Orlando Magic,106,Box Score,,18846,
Fri Nov 12 2010,7:00 pm,Sacramento Kings,89,Phoenix Suns,103,Box Score,,18029,
Fri Nov 12 2010,7:00 pm,Charlotte Bobcats,93,Washington Wizards,85,Box Score,,14855,
Sat Nov 13 2010,7:00 pm,Utah Jazz,96,Charlotte Bobcats,95,Box Score,,15486,
Sat Nov 13 2010,7:00 pm,Washington Wizards,96,Chicago Bulls,103,Box Score,,21610,
Sat Nov 13 2010,7:30 pm,Indiana Pacers,99,Cleveland Cavaliers,85,Box Score,,20562,
Sat Nov 13 2010,7:00 pm,Boston Celtics,116,Memphis Grizzlies,110,Box Score,OT,18119,
Sat Nov 13 2010,7:30 pm,Toronto Raptors,100,Miami Heat,109,Box Score,,19600,
Sat Nov 13 2010,7:30 pm,Golden State Warriors,72,Milwaukee Bucks,79,Box Score,,17049,
Sat Nov 13 2010,7:00 pm,Orlando Magic,91,New Jersey Nets,90,Box Score,,15086,
Sat Nov 13 2010,7:00 pm,Portland Trail Blazers,87,New Orleans Hornets,107,Box Score,,14706,
Sat Nov 13 2010,7:30 pm,Philadelphia 76ers,93,San Antonio Spurs,116,Box Score,,17627,
Sun Nov 14 2010,2:00 pm,Minnesota Timberwolves,105,Atlanta Hawks,111,Box Score,,12027,
Sun Nov 14 2010,6:30 pm,Phoenix Suns,121,Los Angeles Lakers,116,Box Score,,18997,
Sun Nov 14 2010,7:30 pm,Houston Rockets,104,New York Knicks,96,Box Score,,19763,
Sun Nov 14 2010,6:00 pm,San Antonio Spurs,117,Oklahoma City Thunder,104,Box Score,,18203,
Sun Nov 14 2010,3:00 pm,Detroit Pistons,100,Sacramento Kings,94,Box Score,,12377,
Mon Nov 15 2010,7:00 pm,Minnesota Timberwolves,110,Charlotte Bobcats,113,Box Score,,11211,
Mon Nov 15 2010,7:30 pm,New Orleans Hornets,95,Dallas Mavericks,98,Box Score,,19712,
Mon Nov 15 2010,7:30 pm,Detroit Pistons,97,Golden State Warriors,101,Box Score,,19123,
Mon Nov 15 2010,7:30 pm,New Jersey Nets,110,Los Angeles Clippers,96,Box Score,,14516,
Mon Nov 15 2010,7:00 pm,Memphis Grizzlies,72,Orlando Magic,89,Box Score,,18846,
Mon Nov 15 2010,7:00 pm,Denver Nuggets,94,Phoenix Suns,100,Box Score,,17744,
Mon Nov 15 2010,7:00 pm,Oklahoma City Thunder,115,Utah Jazz,108,Box Score,,19911,
Tue Nov 16 2010,7:00 pm,Philadelphia 76ers,93,Cleveland Cavaliers,101,Box Score,,20562,
Tue Nov 16 2010,7:00 pm,New York Knicks,118,Denver Nuggets,120,Box Score,,15190,
Tue Nov 16 2010,7:30 pm,Chicago Bulls,95,Houston Rockets,92,Box Score,,18158,
Tue Nov 16 2010,7:00 pm,Atlanta Hawks,102,Indiana Pacers,92,Box Score,,11133,
Tue Nov 16 2010,7:00 pm,Portland Trail Blazers,100,Memphis Grizzlies,99,Box Score,,10827,
Tue Nov 16 2010,7:00 pm,Los Angeles Lakers,118,Milwaukee Bucks,107,Box Score,,18059,
Tue Nov 16 2010,7:00 pm,Toronto Raptors,94,Washington Wizards,109,Box Score,,11513,
Wed Nov 17 2010,7:30 pm,Washington Wizards,83,Boston Celtics,114,Box Score,,18624,
Wed Nov 17 2010,7:30 pm,Los Angeles Lakers,103,Detroit Pistons,90,Box Score,,20284,
Wed Nov 17 2010,7:00 pm,Phoenix Suns,96,Miami Heat,123,Box Score,,19600,
Wed Nov 17 2010,7:00 pm,Los Angeles Clippers,111,Minnesota Timberwolves,113,Box Score,,12909,
Wed Nov 17 2010,7:00 pm,Dallas Mavericks,97,New Orleans Hornets,99,Box Score,,13828,
Wed Nov 17 2010,7:00 pm,Houston Rockets,99,Oklahoma City Thunder,116,Box Score,,17509,
Wed Nov 17 2010,7:00 pm,Toronto Raptors,94,Philadelphia 76ers,86,Box Score,,12164,
Wed Nov 17 2010,7:00 pm,New York Knicks,113,Sacramento Kings,106,Box Score,,12817,
Wed Nov 17 2010,8:30 pm,Chicago Bulls,94,San Antonio Spurs,103,Box Score,,18581,
Wed Nov 17 2010,7:00 pm,New Jersey Nets,88,Utah Jazz,98,Box Score,,19314,
Thu Nov 18 2010,7:00 pm,Los Angeles Clippers,80,Indiana Pacers,107,Box Score,,12459,
Thu Nov 18 2010,8:00 pm,Phoenix Suns,89,Orlando Magic,105,Box Score,,18846,
