Visitor/Neutral,Home/Neutral
Miami Heat,Boston Celtics
Houston Rockets,Los Angeles Lakers
Phoenix Suns,Portland Trail Blazers
Boston Celtics,Cleveland Cavaliers
Charlotte Hornets,Dallas Mavericks
Utah Jazz,Denver Nuggets
Houston Rockets,Golden State Warriors
Portland Trail Blazers,Los Angeles Clippers
Atlanta Hawks,Memphis Grizzlies
Sacramento Kings,Minnesota Timberwolves
Detroit Pistons,Brooklyn Nets
Milwaukee Bucks,New Orleans Pelicans
Chicago Bulls,Oklahoma City Thunder
Miami Heat,Philadelphia 76ers
Indiana Pacers,San Antonio Spurs
New York Knicks,Toronto Raptors
Washington Wizards,Orlando Magic
Phoenix Suns,Utah Jazz
New York Knicks,Boston Celtics
Indiana Pacers,Charlotte Hornets
Memphis Grizzlies,Dallas Mavericks
Oklahoma City Thunder,Detroit Pistons
Los Angeles Clippers,Golden State Warriors
Orlando Magic,Miami Heat
Milwaukee Bucks,Minnesota Timberwolves
Sacramento Kings,Brooklyn Nets
Denver Nuggets,New Orleans Pelicans
Atlanta Hawks,Philadelphia 76ers
Los Angeles Lakers,Phoenix Suns
Cleveland Cavaliers,Toronto Raptors
Washington Wizards,Atlanta Hawks
Detroit Pistons,Chicago Bulls
Sacramento Kings,Cleveland Cavaliers
Denver Nuggets,Houston Rockets
Philadelphia 76ers,Indiana Pacers
Minnesota Timberwolves,Memphis Grizzlies
Charlotte Hornets,Milwaukee Bucks
Portland Trail Blazers,New York Knicks
New Orleans Pelicans,San Antonio Spurs
Dallas Mavericks,Los Angeles Clippers
Golden State Warriors,Los Angeles Lakers
Miami Heat,Brooklyn Nets
Utah Jazz,Oklahoma City Thunder
Portland Trail Blazers,Chicago Bulls
San Antonio Spurs,Los Angeles Clippers
Toronto Raptors,Sacramento Kings
Atlanta Hawks,Cleveland Cavaliers
Boston Celtics,Detroit Pistons
Memphis Grizzlies,Los Angeles Lakers
Minnesota Timberwolves,Miami Heat
Portland Trail Blazers,Milwaukee Bucks
Philadelphia 76ers,Washington Wizards
Detroit Pistons,Atlanta Hawks
Milwaukee Bucks,Boston Celtics
Dallas Mavericks,Denver Nuggets
Memphis Grizzlies,Golden State Warriors
New Orleans Pelicans,Houston Rockets
Oklahoma City Thunder,Los Angeles Clippers
Charlotte Hornets,Brooklyn Nets
Minnesota Timberwolves,Orlando Magic
Indiana Pacers,Philadelphia 76ers
San Antonio Spurs,Phoenix Suns
Los Angeles Lakers,Sacramento Kings
Toronto Raptors,Utah Jazz
New York Knicks,Chicago Bulls
