,0.5/mis_W,0.5/mis_L,0.6/mis_W,0.6/mis_L,0.7/mis_W,0.7/mis_L,0.8/mis_W,0.8/mis_L,0.9/mis_W,0.9/mis_L,pred_W,pred_L,true_W,true_L
Utah Jazz,8,20,4,10,2,7,0,2,0,0,43,50,55,38
Memphis Grizzlies,8,29,5,21,1,13,0,7,0,1,24,64,45,43
San Antonio Spurs,24,2,23,1,22,0,15,0,4,0,91,7,69,29
Indiana Pacers,23,12,16,5,8,2,3,0,0,0,53,33,42,44
Atlanta Hawks,32,10,18,7,12,5,4,0,0,0,67,21,45,43
Miami Heat,26,7,16,4,12,2,6,0,0,0,60,22,41,41
Charlotte Hornets,29,6,17,3,13,1,4,0,1,0,59,23,36,46
Milwaukee Bucks,6,31,4,26,3,18,2,7,0,1,19,69,44,44
Chicago Bulls,19,22,10,14,8,7,2,5,1,0,40,48,43,45
Washington Wizards,10,27,3,9,2,4,2,2,0,0,39,56,56,39
Portland Trail Blazers,27,9,19,6,7,3,3,0,0,0,59,27,41,45
New Orleans Pelicans,8,24,4,21,3,11,1,4,0,0,18,64,34,48
Cleveland Cavaliers,28,2,28,0,22,0,8,0,0,0,90,10,64,36
Detroit Pistons,19,17,13,10,5,4,1,0,1,0,39,43,37,45
Golden State Warriors,16,0,13,0,12,0,11,0,2,0,99,0,83,16
Los Angeles Clippers,26,10,20,6,18,3,7,0,1,0,70,19,54,35
Houston Rockets,9,25,4,16,1,9,0,5,0,0,45,48,61,32
Brooklyn Nets,3,17,2,14,2,12,0,4,0,0,6,76,20,62
Toronto Raptors,25,2,21,2,15,0,6,0,2,0,78,14,55,37
Philadelphia 76ers,0,28,0,26,0,26,0,19,0,5,0,82,28,54
New York Knicks,11,23,6,18,4,9,0,4,0,0,19,63,31,51
Boston Celtics,21,12,11,3,6,2,4,1,0,0,71,29,62,38
Orlando Magic,9,18,9,12,2,8,1,3,0,1,20,62,29,53
Oklahoma City Thunder,32,1,31,0,19,0,10,0,1,0,79,8,48,39
Dallas Mavericks,21,11,9,6,5,4,3,1,0,0,43,39,33,49
Phoenix Suns,5,22,2,20,0,16,0,8,0,2,7,75,24,58
Denver Nuggets,8,26,4,16,1,11,1,6,0,0,22,60,40,42
Sacramento Kings,10,19,9,14,4,9,1,4,0,0,23,59,32,50
Los Angeles Lakers,2,23,1,22,1,14,0,10,0,3,5,77,26,56
Minnesota Timberwolves,10,20,5,15,1,11,0,3,0,0,21,61,31,51
