win,lose,probability
Atlanta Hawks,Detroit Pistons,0.825808307070908
Cleveland Cavaliers,Chicago Bulls,0.5491760829356905
Golden State Warriors,New Orleans Pelicans,0.8987350999321271
Boston Celtics,Philadelphia 76ers,0.8415572095471401
Chicago Bulls,Brooklyn Nets,0.6416232841032966
Utah Jazz,Detroit Pistons,0.5796377676953515
Houston Rockets,Denver Nuggets,0.8812183882944814
Minnesota Timberwolves,Los Angeles Lakers,0.5189934717479812
Memphis Grizzlies,Cleveland Cavaliers,0.5642527976976337
Miami Heat,Charlotte Hornets,0.5740129619630663
Milwaukee Bucks,New York Knicks,0.8123206946770193
San Antonio Spurs,Oklahoma City Thunder,0.6109178975459215
Washington Wizards,Orlando Magic,0.796966947962401
Dallas Mavericks,Phoenix Suns,0.641639014318577
Portland Trail Blazers,New Orleans Pelicans,0.5953381795653963
Los Angeles Clippers,Sacramento Kings,0.8521336262856953
Toronto Raptors,Indiana Pacers,0.5902971591308658
Memphis Grizzlies,Indiana Pacers,0.6223504273180331
Los Angeles Clippers,Dallas Mavericks,0.7282099191205844
Atlanta Hawks,New York Knicks,0.931085192005934
Atlanta Hawks,Charlotte Hornets,0.8532998620175609
Toronto Raptors,Boston Celtics,0.5205837433289056
Cleveland Cavaliers,Miami Heat,0.8582521559602915
Denver Nuggets,Minnesota Timberwolves,0.6921558640694208
Chicago Bulls,Detroit Pistons,0.7017948658937305
Golden State Warriors,Houston Rockets,0.5539267392502076
Washington Wizards,Milwaukee Bucks,0.5481892746590087
Oklahoma City Thunder,Orlando Magic,0.8155874580732919
Utah Jazz,Philadelphia 76ers,0.8310595581695299
Portland Trail Blazers,Phoenix Suns,0.6637464943465405
Sacramento Kings,Los Angeles Lakers,0.5928583063459236
San Antonio Spurs,Brooklyn Nets,0.843159788393214
Indiana Pacers,Utah Jazz,0.5460797913947593
Los Angeles Clippers,Sacramento Kings,0.8923979819147007
Memphis Grizzlies,Brooklyn Nets,0.7999392360865583
Golden State Warriors,New Orleans Pelicans,0.7695800825812888
Portland Trail Blazers,Phoenix Suns,0.6813500570865537
Washington Wizards,New York Knicks,0.8617920372910016
San Antonio Spurs,Boston Celtics,0.6800214613374698
Chicago Bulls,Orlando Magic,0.8379494441989707
Atlanta Hawks,Charlotte Hornets,0.8252862919238825
Dallas Mavericks,Los Angeles Lakers,0.8791171541551581
Houston Rockets,Miami Heat,0.7328411222771972
Oklahoma City Thunder,Denver Nuggets,0.7593295585659828
Toronto Raptors,Milwaukee Bucks,0.6050752778062749
Brooklyn Nets,Milwaukee Bucks,0.5021488117946034
Golden State Warriors,Memphis Grizzlies,0.8445762365456922
Houston Rockets,Oklahoma City Thunder,0.7424223234529914
Los Angeles Clippers,Phoenix Suns,0.8381594432388012
Portland Trail Blazers,Minnesota Timberwolves,0.9082756552902975
San Antonio Spurs,New York Knicks,0.9379278608671691
Cleveland Cavaliers,Philadelphia 76ers,0.9221701432653748
Chicago Bulls,Charlotte Hornets,0.7688917352207829
Dallas Mavericks,Toronto Raptors,0.5898275158455621
Indiana Pacers,Detroit Pistons,0.5808616015314267
Denver Nuggets,Los Angeles Lakers,0.7113520972529179
Atlanta Hawks,Miami Heat,0.7520467561478308
New Orleans Pelicans,Orlando Magic,0.7978282941015237
Memphis Grizzlies,Sacramento Kings,0.8083592983452836
Atlanta Hawks,Brooklyn Nets,0.8155425654776228
Cleveland Cavaliers,New York Knicks,0.9453585720080964
Golden State Warriors,Los Angeles Clippers,0.7990921069451135
Houston Rockets,Orlando Magic,0.9138965929678595
Indiana Pacers,Boston Celtics,0.5315842550367921
Milwaukee Bucks,Philadelphia 76ers,0.8109702654468234
Oklahoma City Thunder,Toronto Raptors,0.5548574592969439
Phoenix Suns,Sacramento Kings,0.6335387554558494
Portland Trail Blazers,Utah Jazz,0.5863859192640803
San Antonio Spurs,Washington Wizards,0.6461845847931614
Chicago Bulls,Oklahoma City Thunder,0.5840636887563023
Dallas Mavericks,Charlotte Hornets,0.7705573432289717
Utah Jazz,Denver Nuggets,0.6499739267819932
Miami Heat,Minnesota Timberwolves,0.7909419764059255
Memphis Grizzlies,Portland Trail Blazers,0.5260989842599993
Boston Celtics,Washington Wizards,0.5050438475783249
Brooklyn Nets,Los Angeles Lakers,0.747052698839867
Cleveland Cavaliers,Philadelphia 76ers,0.9449004737726625
Golden State Warriors,Denver Nuggets,0.951673993127599
Indiana Pacers,Miami Heat,0.6388779447824529
Atlanta Hawks,New Orleans Pelicans,0.6162489508897835
Milwaukee Bucks,New York Knicks,0.8404995933138624
Toronto Raptors,Orlando Magic,0.813057694851203
Phoenix Suns,Detroit Pistons,0.5534586819612373
Houston Rockets,Sacramento Kings,0.8234097542619785
Atlanta Hawks,Washington Wizards,0.734011076349876
Chicago Bulls,Minnesota Timberwolves,0.8919532076109533
Dallas Mavericks,New Orleans Pelicans,0.6212692028376045
Los Angeles Clippers,Houston Rockets,0.6637130757772547
Milwaukee Bucks,Brooklyn Nets,0.5690578301013588
Orlando Magic,Philadelphia 76ers,0.6529004236550942
Golden State Warriors,Sacramento Kings,0.9146967052777526
San Antonio Spurs,Charlotte Hornets,0.8761226872189152
Memphis Grizzlies,Utah Jazz,0.6122859875290206
Cleveland Cavaliers,Indiana Pacers,0.8037927060793842
Toronto Raptors,Miami Heat,0.6341275856922386
Los Angeles Lakers,New York Knicks,0.6428121584662564
Oklahoma City Thunder,Phoenix Suns,0.6739067381740985
Portland Trail Blazers,Detroit Pistons,0.7105559980217566
Atlanta Hawks,Minnesota Timberwolves,0.9350603036588012
Portland Trail Blazers,Denver Nuggets,0.767708699263476
Golden State Warriors,Detroit Pistons,0.9367461586892569
Indiana Pacers,Orlando Magic,0.7588135799618548
Los Angeles Clippers,Memphis Grizzlies,0.6857065676189257
Chicago Bulls,Philadelphia 76ers,0.8935691438714448
San Antonio Spurs,Sacramento Kings,0.8522037363581619
Cleveland Cavaliers,Utah Jazz,0.8045839540584818
Miami Heat,Los Angeles Lakers,0.7122487165263356
Boston Celtics,Milwaukee Bucks,0.5071882977660801
Charlotte Hornets,Minnesota Timberwolves,0.7673764287444838
Dallas Mavericks,New Orleans Pelicans,0.5168710782952861
Toronto Raptors,New York Knicks,0.8588530406716388
Washington Wizards,Oklahoma City Thunder,0.5131089316124566
Atlanta Hawks,New Orleans Pelicans,0.7396592565670909
Boston Celtics,Indiana Pacers,0.5592433035099412
Charlotte Hornets,New York Knicks,0.6831068302608889
Los Angeles Clippers,Dallas Mavericks,0.5763188709103496
Milwaukee Bucks,Denver Nuggets,0.6370274704466881
Houston Rockets,Brooklyn Nets,0.8387898315028013
Golden State Warriors,Memphis Grizzlies,0.6177209257697194
Los Angeles Lakers,Orlando Magic,0.5034264145501995
Toronto Raptors,Philadelphia 76ers,0.8719881667701848
San Antonio Spurs,Portland Trail Blazers,0.6027884846086475
Detroit Pistons,Sacramento Kings,0.6074980704226153
Utah Jazz,Miami Heat,0.5558824506269426
Golden State Warriors,Minnesota Timberwolves,0.9655650656026111
Los Angeles Clippers,Phoenix Suns,0.7502547944843045
Atlanta Hawks,Boston Celtics,0.655199626394886
Chicago Bulls,Charlotte Hornets,0.769309742948147
Dallas Mavericks,Los Angeles Lakers,0.8605119469443648
Houston Rockets,Denver Nuggets,0.8027454167379966
Indiana Pacers,Minnesota Timberwolves,0.8339640327263583
Memphis Grizzlies,Portland Trail Blazers,0.6366829498861786
Cleveland Cavaliers,New York Knicks,0.9306965356957809
Oklahoma City Thunder,Philadelphia 76ers,0.8778856718402013
Utah Jazz,Orlando Magic,0.7585056389711969
Brooklyn Nets,Sacramento Kings,0.624004160007466
Toronto Raptors,New Orleans Pelicans,0.5439877993898772
Golden State Warriors,Brooklyn Nets,0.9324838541109449
