Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%.1,TOV%.1,DRB%,FT/FGA.1,Arena,Attend.,Attend./G
1.0,Golden State Warriors,27.4,73.0,9.0,65,17,10.76,-0.38,10.38,114.5,103.8,99.3,0.25,0.36200000000000004,0.593,0.563,13.5,23.5,0.191,0.479,12.6,76.0,0.20800000000000002,Oracle Arena,803436,19596
2.0,San Antonio Spurs,30.3,67.0,15.0,67,15,10.63,-0.36,10.28,110.3,99.0,93.8,0.24600000000000002,0.223,0.564,0.526,12.4,23.0,0.19699999999999998,0.47700000000000004,14.1,79.1,0.182,AT&T Center,756445,18446
3.0,Oklahoma City Thunder,25.8,55.0,27.0,59,23,7.28,-0.19,7.09,113.1,105.6,96.7,0.292,0.275,0.565,0.524,14.0,31.1,0.228,0.484,11.7,76.0,0.205,Chesapeake Energy Arena,746323,18203
4.0,Cleveland Cavaliers,28.1,57.0,25.0,57,25,6.0,-0.55,5.45,110.9,104.5,93.3,0.259,0.35200000000000004,0.5579999999999999,0.524,12.7,25.1,0.19399999999999998,0.496,12.6,78.5,0.205,Quicken Loans Arena,843042,20562
5.0,Los Angeles Clippers,29.7,53.0,29.0,53,29,4.28,-0.15,4.13,108.3,103.8,95.8,0.318,0.324,0.556,0.524,12.1,20.1,0.22,0.48,13.8,73.8,0.222,STAPLES Center,786910,19187
6.0,Toronto Raptors,26.3,56.0,26.0,53,29,4.5,-0.42,4.08,110.0,105.2,92.9,0.32799999999999996,0.287,0.552,0.504,12.3,24.6,0.255,0.498,12.7,77.7,0.201,Air Canada Centre,812863,19908
7.0,Atlanta Hawks,28.2,48.0,34.0,51,31,3.61,-0.12,3.49,105.1,101.4,97.1,0.237,0.336,0.552,0.516,13.8,19.1,0.185,0.48,14.4,74.6,0.19399999999999998,Philips Arena,690150,17070
8.0,Boston Celtics,25.2,48.0,34.0,50,32,3.21,-0.37,2.84,106.8,103.6,98.5,0.264,0.293,0.531,0.488,12.1,25.1,0.20800000000000002,0.48700000000000004,14.6,74.6,0.231,TD Garden,749076,18294
9.0,Charlotte Hornets,26.0,48.0,34.0,49,33,2.72,-0.36,2.36,107.1,104.3,95.7,0.28,0.348,0.545,0.502,11.7,20.0,0.222,0.496,12.5,79.8,0.191,Time Warner Cable Arena,716894,17620
10.0,Utah Jazz,24.2,40.0,42.0,46,36,1.79,0.05,1.84,105.9,103.9,91.0,0.28600000000000003,0.297,0.54,0.501,14.2,25.9,0.213,0.495,13.5,77.7,0.21,Vivint Smart Home Arena,791489,19305
11.0,Indiana Pacers,26.9,45.0,37.0,46,36,1.71,-0.09,1.62,104.6,102.9,96.6,0.268,0.27,0.536,0.49700000000000005,13.5,23.4,0.205,0.489,14.3,76.0,0.205,Bankers Life Fieldhouse,690733,16937
12.0,Miami Heat,28.4,48.0,34.0,46,36,1.65,-0.14,1.5,106.1,104.4,93.6,0.282,0.221,0.545,0.508,13.3,23.8,0.21,0.485,12.1,77.8,0.196,AmericanAirlines Arena,809350,19733
13.0,Portland Trail Blazers,24.3,44.0,38.0,43,39,0.83,0.15,0.98,108.8,108.0,96.0,0.268,0.332,0.5479999999999999,0.511,13.2,25.9,0.20199999999999999,0.503,12.1,76.2,0.225,Moda Center,794085,19402
