Visitor/Neutral,Home/Neutral
Sacramento Kings,Atlanta Hawks
Dallas Mavericks,Boston Celtics
Brooklyn Nets,Charlotte Hornets
Portland Trail Blazers,Houston Rockets
New Orleans Pelicans,Oklahoma City Thunder
Minnesota Timberwolves,Orlando Magic
Indiana Pacers,Philadelphia 76ers
Chicago Bulls,Phoenix Suns
Denver Nuggets,San Antonio Spurs
Toronto Raptors,Utah Jazz
Milwaukee Bucks,Cleveland Cavaliers
Golden State Warriors,Los Angeles Clippers
Sacramento Kings,Miami Heat
Brooklyn Nets,Boston Celtics
Philadelphia 76ers,Charlotte Hornets
Utah Jazz,Dallas Mavericks
Phoenix Suns,Denver Nuggets
Chicago Bulls,Golden State Warriors
Toronto Raptors,Los Angeles Lakers
Houston Rockets,Memphis Grizzlies
Detroit Pistons,Minnesota Timberwolves
San Antonio Spurs,New Orleans Pelicans
New York Knicks,Oklahoma City Thunder
Los Angeles Clippers,Portland Trail Blazers
Atlanta Hawks,Cleveland Cavaliers
Washington Wizards,Detroit Pistons
New York Knicks,Houston Rockets
Milwaukee Bucks,Indiana Pacers
Philadelphia 76ers,Miami Heat
Sacramento Kings,Orlando Magic
Memphis Grizzlies,San Antonio Spurs
Boston Celtics,Brooklyn Nets
Golden State Warriors,Denver Nuggets
Toronto Raptors,Los Angeles Clippers
Portland Trail Blazers,Los Angeles Lakers
Phoenix Suns,New Orleans Pelicans
Dallas Mavericks,Oklahoma City Thunder
Sacramento Kings,Charlotte Hornets
Orlando Magic,Cleveland Cavaliers
New York Knicks,Miami Heat
Detroit Pistons,Milwaukee Bucks
Philadelphia 76ers,Minnesota Timberwolves
Phoenix Suns,San Antonio Spurs
Oklahoma City Thunder,Utah Jazz
Boston Celtics,Atlanta Hawks
Los Angeles Clippers,Denver Nuggets
Los Angeles Lakers,Golden State Warriors
Dallas Mavericks,Memphis Grizzlies
Chicago Bulls,Portland Trail Blazers
Indiana Pacers,Washington Wizards
Philadelphia 76ers,Boston Celtics
Washington Wizards,Charlotte Hornets
