Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Wed Jan 4 2012,7:30 pm,New Jersey Nets,70,Boston Celtics,89,Box Score,,18624,
Wed Jan 4 2012,7:30 pm,Phoenix Suns,89,Dallas Mavericks,98,Box Score,,19885,
Wed Jan 4 2012,7:00 pm,Sacramento Kings,83,Denver Nuggets,110,Box Score,,14562,
Wed Jan 4 2012,7:30 pm,Chicago Bulls,99,Detroit Pistons,83,Box Score,,9125,
Wed Jan 4 2012,7:30 pm,Houston Rockets,89,Los Angeles Clippers,117,Box Score,,19060,
Wed Jan 4 2012,7:30 pm,Indiana Pacers,83,Miami Heat,118,Box Score,,20201,
Wed Jan 4 2012,7:00 pm,Memphis Grizzlies,90,Minnesota Timberwolves,86,Box Score,,17404,
Wed Jan 4 2012,7:00 pm,Philadelphia 76ers,101,New Orleans Hornets,93,Box Score,,12387,
Wed Jan 4 2012,7:30 pm,Charlotte Bobcats,118,New York Knicks,110,Box Score,,19763,
Wed Jan 4 2012,7:00 pm,Washington Wizards,85,Orlando Magic,103,Box Score,,18846,
Wed Jan 4 2012,7:30 pm,Golden State Warriors,95,San Antonio Spurs,101,Box Score,,16751,
Wed Jan 4 2012,7:00 pm,Cleveland Cavaliers,77,Toronto Raptors,92,Box Score,,14468,
Thu Jan 5 2012,8:00 pm,Miami Heat,116,Atlanta Hawks,109,Box Score,3OT,18371,
Thu Jan 5 2012,7:30 pm,Los Angeles Lakers,96,Portland Trail Blazers,107,Box Score,,20444,
Thu Jan 5 2012,7:00 pm,Milwaukee Bucks,100,Sacramento Kings,103,Box Score,,11813,
Thu Jan 5 2012,7:30 pm,Dallas Mavericks,71,San Antonio Spurs,93,Box Score,,18581,
Fri Jan 6 2012,7:30 pm,Indiana Pacers,87,Boston Celtics,74,Box Score,,18624,
Fri Jan 6 2012,7:00 pm,Atlanta Hawks,102,Charlotte Bobcats,96,Box Score,OT,17827,
Fri Jan 6 2012,7:30 pm,Golden State Warriors,90,Los Angeles Lakers,97,Box Score,,18997,
Fri Jan 6 2012,7:00 pm,Cleveland Cavaliers,98,Minnesota Timberwolves,87,Box Score,,16943,
Fri Jan 6 2012,7:00 pm,Denver Nuggets,96,New Orleans Hornets,88,Box Score,,13035,
Fri Jan 6 2012,7:00 pm,Houston Rockets,94,Oklahoma City Thunder,109,Box Score,,18203,
Fri Jan 6 2012,8:00 pm,Chicago Bulls,97,Orlando Magic,83,Box Score,,18912,
Fri Jan 6 2012,7:00 pm,Detroit Pistons,73,Philadelphia 76ers,96,Box Score,,19408,
Fri Jan 6 2012,8:30 pm,Portland Trail Blazers,77,Phoenix Suns,102,Box Score,,16235,
Fri Jan 6 2012,7:00 pm,New Jersey Nets,97,Toronto Raptors,85,Box Score,,16771,
Fri Jan 6 2012,7:00 pm,Memphis Grizzlies,85,Utah Jazz,94,Box Score,,19503,
Fri Jan 6 2012,7:00 pm,New York Knicks,99,Washington Wizards,96,Box Score,,16998,
Sat Jan 7 2012,7:00 pm,Chicago Bulls,94,Atlanta Hawks,109,Box Score,,17112,
Sat Jan 7 2012,8:00 pm,New Orleans Hornets,81,Dallas Mavericks,96,Box Score,,20409,
Sat Jan 7 2012,7:30 pm,New York Knicks,103,Detroit Pistons,80,Box Score,,12044,
Sat Jan 7 2012,7:30 pm,Utah Jazz,88,Golden State Warriors,87,Box Score,,19596,
Sat Jan 7 2012,7:00 pm,Oklahoma City Thunder,98,Houston Rockets,95,Box Score,,14327,
Sat Jan 7 2012,7:00 pm,Charlotte Bobcats,77,Indiana Pacers,99,Box Score,,17226,
Sat Jan 7 2012,7:30 pm,Milwaukee Bucks,86,Los Angeles Clippers,92,Box Score,,19229,
Sat Jan 7 2012,7:30 pm,Miami Heat,101,New Jersey Nets,90,Box Score,,18711,
Sat Jan 7 2012,8:00 pm,Toronto Raptors,62,Philadelphia 76ers,97,Box Score,,14522,
Sat Jan 7 2012,7:30 pm,Denver Nuggets,117,San Antonio Spurs,121,Box Score,,17537,
Sun Jan 8 2012,6:30 pm,Memphis Grizzlies,82,Los Angeles Lakers,90,Box Score,,18997,
Sun Jan 8 2012,6:00 pm,San Antonio Spurs,96,Oklahoma City Thunder,108,Box Score,,18203,
Sun Jan 8 2012,6:00 pm,Milwaukee Bucks,93,Phoenix Suns,109,Box Score,,13420,
Sun Jan 8 2012,6:00 pm,Cleveland Cavaliers,78,Portland Trail Blazers,98,Box Score,,20292,
Sun Jan 8 2012,3:00 pm,Orlando Magic,104,Sacramento Kings,97,Box Score,,14150,
Sun Jan 8 2012,1:00 pm,Minnesota Timberwolves,93,Washington Wizards,72,Box Score,,13095,
Mon Jan 9 2012,7:00 pm,Detroit Pistons,68,Chicago Bulls,92,Box Score,,21530,
Mon Jan 9 2012,7:00 pm,New Orleans Hornets,94,Denver Nuggets,81,Box Score,,14002,
Mon Jan 9 2012,7:30 pm,Atlanta Hawks,106,New Jersey Nets,101,Box Score,,12259,
Mon Jan 9 2012,7:30 pm,Charlotte Bobcats,87,New York Knicks,91,Box Score,,19763,
Mon Jan 9 2012,7:00 pm,Indiana Pacers,86,Philadelphia 76ers,96,Box Score,,8612,
Mon Jan 9 2012,7:00 pm,Minnesota Timberwolves,87,Toronto Raptors,97,Box Score,,14097,
Tue Jan 10 2012,7:00 pm,Houston Rockets,82,Charlotte Bobcats,70,Box Score,,13421,
Tue Jan 10 2012,7:30 pm,Dallas Mavericks,100,Detroit Pistons,86,Box Score,,10073,
Tue Jan 10 2012,7:30 pm,Miami Heat,106,Golden State Warriors,111,Box Score,OT,19596,
Tue Jan 10 2012,7:30 pm,Phoenix Suns,83,Los Angeles Lakers,99,Box Score,,18997,
Tue Jan 10 2012,7:00 pm,Oklahoma City Thunder,100,Memphis Grizzlies,95,Box Score,,13601,
Tue Jan 10 2012,7:00 pm,San Antonio Spurs,103,Milwaukee Bucks,106,Box Score,,11585,
Tue Jan 10 2012,7:00 pm,Chicago Bulls,111,Minnesota Timberwolves,100,Box Score,,19356,
Tue Jan 10 2012,7:00 pm,Sacramento Kings,85,Philadelphia 76ers,112,Box Score,,10255,
Tue Jan 10 2012,7:00 pm,Los Angeles Clippers,97,Portland Trail Blazers,105,Box Score,,20381,
Tue Jan 10 2012,7:00 pm,Cleveland Cavaliers,105,Utah Jazz,113,Box Score,,17859,
Tue Jan 10 2012,7:00 pm,Toronto Raptors,78,Washington Wizards,93,Box Score,,14077,
Wed Jan 11 2012,8:00 pm,Dallas Mavericks,90,Boston Celtics,85,Box Score,,18624,
Wed Jan 11 2012,7:00 pm,Washington Wizards,64,Chicago Bulls,78,Box Score,,21366,
Wed Jan 11 2012,7:00 pm,New Jersey Nets,115,Denver Nuggets,123,Box Score,,14139,
Wed Jan 11 2012,7:00 pm,Atlanta Hawks,84,Indiana Pacers,96,Box Score,,10334,
Wed Jan 11 2012,7:30 pm,Miami Heat,89,Los Angeles Clippers,95,Box Score,OT,19341,
Wed Jan 11 2012,7:00 pm,Oklahoma City Thunder,95,New Orleans Hornets,85,Box Score,,13565,
Wed Jan 11 2012,7:30 pm,Philadelphia 76ers,79,New York Knicks,85,Box Score,,19763,
Wed Jan 11 2012,7:00 pm,Orlando Magic,107,Portland Trail Blazers,104,Box Score,,20467,
Wed Jan 11 2012,7:30 pm,Houston Rockets,95,San Antonio Spurs,101,Box Score,OT,17381,
Wed Jan 11 2012,7:00 pm,Sacramento Kings,98,Toronto Raptors,91,Box Score,,14323,
Wed Jan 11 2012,7:00 pm,Los Angeles Lakers,90,Utah Jazz,87,Box Score,OT,19642,
Thu Jan 12 2012,7:30 pm,Charlotte Bobcats,81,Atlanta Hawks,111,Box Score,,10597,
Thu Jan 12 2012,7:30 pm,Orlando Magic,117,Golden State Warriors,109,Box Score,,17754,
Thu Jan 12 2012,7:00 pm,New York Knicks,83,Memphis Grizzlies,94,Box Score,,15324,
Thu Jan 12 2012,7:00 pm,Detroit Pistons,93,Milwaukee Bucks,102,Box Score,,11465,
Thu Jan 12 2012,7:00 pm,Cleveland Cavaliers,101,Phoenix Suns,90,Box Score,,14636,
Fri Jan 13 2012,8:00 pm,Chicago Bulls,88,Boston Celtics,79,Box Score,,18624,
Fri Jan 13 2012,7:00 pm,Detroit Pistons,98,Charlotte Bobcats,81,Box Score,,18043,
Fri Jan 13 2012,7:30 pm,Milwaukee Bucks,76,Dallas Mavericks,102,Box Score,,20112,
Fri Jan 13 2012,8:30 pm,Miami Heat,104,Denver Nuggets,117,Box Score,,19155,
Fri Jan 13 2012,7:00 pm,Sacramento Kings,89,Houston Rockets,103,Box Score,,12870,
Fri Jan 13 2012,7:30 pm,Cleveland Cavaliers,92,Los Angeles Lakers,97,Box Score,,18997,
Fri Jan 13 2012,7:00 pm,Minnesota Timberwolves,87,New Orleans Hornets,80,Box Score,,14295,
Fri Jan 13 2012,7:00 pm,Washington Wizards,89,Philadelphia 76ers,120,Box Score,,14213,
Fri Jan 13 2012,7:00 pm,New Jersey Nets,110,Phoenix Suns,103,Box Score,,15191,
Fri Jan 13 2012,7:30 pm,Portland Trail Blazers,83,San Antonio Spurs,99,Box Score,,18581,
Fri Jan 13 2012,7:00 pm,Indiana Pacers,95,Toronto Raptors,90,Box Score,,15302,
Sat Jan 14 2012,7:00 pm,Minnesota Timberwolves,91,Atlanta Hawks,93,Box Score,,13135,
Sat Jan 14 2012,7:00 pm,Golden State Warriors,100,Charlotte Bobcats,112,Box Score,,16122,
Sat Jan 14 2012,7:00 pm,Toronto Raptors,64,Chicago Bulls,77,Box Score,,21962,
Sat Jan 14 2012,8:00 pm,Sacramento Kings,60,Dallas Mavericks,99,Box Score,,20313,
Sat Jan 14 2012,7:00 pm,Portland Trail Blazers,105,Houston Rockets,107,Box Score,OT,11676,
Sat Jan 14 2012,7:00 pm,Boston Celtics,83,Indiana Pacers,97,Box Score,,14203,
Sat Jan 14 2012,7:30 pm,Los Angeles Lakers,94,Los Angeles Clippers,102,Box Score,,19895,
Sat Jan 14 2012,7:00 pm,New Orleans Hornets,99,Memphis Grizzlies,108,Box Score,,14983,
Sat Jan 14 2012,7:00 pm,New York Knicks,92,Oklahoma City Thunder,104,Box Score,,18203,
Sat Jan 14 2012,7:00 pm,New Jersey Nets,94,Utah Jazz,107,Box Score,,19557,
Sat Jan 14 2012,7:00 pm,Philadelphia 76ers,103,Washington Wizards,90,Box Score,,13998,
Sun Jan 15 2012,6:00 pm,Utah Jazz,106,Denver Nuggets,96,Box Score,,16208,
Sun Jan 15 2012,6:00 pm,Golden State Warriors,99,Detroit Pistons,91,Box Score,,11774,
Sun Jan 15 2012,8:00 pm,Phoenix Suns,91,San Antonio Spurs,102,Box Score,,18581,
Mon Jan 16 2012,4:00 pm,Toronto Raptors,84,Atlanta Hawks,93,Box Score,,11050,
Mon Jan 16 2012,8:00 pm,Oklahoma City Thunder,97,Boston Celtics,88,Box Score,,18624,
Mon Jan 16 2012,2:00 pm,Cleveland Cavaliers,102,Charlotte Bobcats,94,Box Score,,14988,
Mon Jan 16 2012,12:30 pm,New Jersey Nets,91,Los Angeles Clippers,101,Box Score,,19060,
Mon Jan 16 2012,7:30 pm,Dallas Mavericks,70,Los Angeles Lakers,73,Box Score,,18997,
Mon Jan 16 2012,12:00 pm,Chicago Bulls,86,Memphis Grizzlies,102,Box Score,,18119,
Mon Jan 16 2012,7:00 pm,Sacramento Kings,86,Minnesota Timberwolves,99,Box Score,,16159,
Mon Jan 16 2012,2:00 pm,Portland Trail Blazers,84,New Orleans Hornets,77,Box Score,,14758,
Mon Jan 16 2012,1:00 pm,Orlando Magic,102,New York Knicks,93,Box Score,,19763,
Mon Jan 16 2012,2:00 pm,Milwaukee Bucks,82,Philadelphia 76ers,94,Box Score,,17281,
Mon Jan 16 2012,2:00 pm,Houston Rockets,114,Washington Wizards,106,Box Score,,15594,
Tue Jan 17 2012,7:00 pm,Phoenix Suns,97,Chicago Bulls,118,Box Score,,21347,
Tue Jan 17 2012,7:00 pm,Golden State Warriors,105,Cleveland Cavaliers,95,Box Score,,13056,
Tue Jan 17 2012,7:00 pm,Detroit Pistons,80,Houston Rockets,97,Box Score,,9318,
Tue Jan 17 2012,7:30 pm,San Antonio Spurs,98,Miami Heat,120,Box Score,,19600,
Tue Jan 17 2012,7:00 pm,Denver Nuggets,105,Milwaukee Bucks,95,Box Score,,11322,
Tue Jan 17 2012,7:00 pm,Charlotte Bobcats,89,Orlando Magic,96,Box Score,,18846,
Tue Jan 17 2012,7:00 pm,Los Angeles Clippers,79,Utah Jazz,108,Box Score,,19371,
Wed Jan 18 2012,8:00 pm,Portland Trail Blazers,89,Atlanta Hawks,92,Box Score,,13729,
Wed Jan 18 2012,7:30 pm,Toronto Raptors,73,Boston Celtics,96,Box Score,,18624,
Wed Jan 18 2012,7:30 pm,Dallas Mavericks,89,Los Angeles Clippers,91,Box Score,,19252,
Wed Jan 18 2012,7:00 pm,Detroit Pistons,85,Minnesota Timberwolves,93,Box Score,,15598,
Wed Jan 18 2012,7:30 pm,Golden State Warriors,100,New Jersey Nets,107,Box Score,,12570,
Wed Jan 18 2012,7:00 pm,Memphis Grizzlies,93,New Orleans Hornets,87,Box Score,,12045,
Wed Jan 18 2012,7:30 pm,Phoenix Suns,91,New York Knicks,88,Box Score,,19763,
Wed Jan 18 2012,7:00 pm,San Antonio Spurs,85,Orlando Magic,83,Box Score,OT,18846,
Wed Jan 18 2012,7:00 pm,Denver Nuggets,108,Philadelphia 76ers,104,Box Score,OT,15201,
Wed Jan 18 2012,7:00 pm,Indiana Pacers,88,Sacramento Kings,92,Box Score,,14170,
Wed Jan 18 2012,7:00 pm,Oklahoma City Thunder,102,Washington Wizards,105,Box Score,,15075,
Thu Jan 19 2012,7:00 pm,New Orleans Hornets,88,Houston Rockets,90,Box Score,OT,10845,
Thu Jan 19 2012,8:00 pm,Los Angeles Lakers,87,Miami Heat,98,Box Score,,20004,
Thu Jan 19 2012,8:30 pm,Dallas Mavericks,94,Utah Jazz,91,Box Score,,19911,
Fri Jan 20 2012,7:30 pm,Phoenix Suns,79,Boston Celtics,71,Box Score,,18624,
Fri Jan 20 2012,7:30 pm,Chicago Bulls,114,Cleveland Cavaliers,75,Box Score,,17871,
Fri Jan 20 2012,7:30 pm,Memphis Grizzlies,98,Detroit Pistons,81,Box Score,,10255,
Fri Jan 20 2012,7:30 pm,Indiana Pacers,94,Golden State Warriors,91,Box Score,,17621,
Fri Jan 20 2012,7:30 pm,Minnesota Timberwolves,101,Los Angeles Clippers,98,Box Score,,19492,
Fri Jan 20 2012,7:30 pm,Milwaukee Bucks,100,New York Knicks,86,Box Score,,19763,
Fri Jan 20 2012,8:00 pm,Los Angeles Lakers,80,Orlando Magic,92,Box Score,,18846,
Fri Jan 20 2012,7:00 pm,Atlanta Hawks,76,Philadelphia 76ers,90,Box Score,,17724,
Fri Jan 20 2012,7:30 pm,Sacramento Kings,88,San Antonio Spurs,86,Box Score,,18581,
Fri Jan 20 2012,7:00 pm,Portland Trail Blazers,94,Toronto Raptors,84,Box Score,,17537,
Fri Jan 20 2012,7:00 pm,Denver Nuggets,108,Washington Wizards,104,Box Score,,14866,
Sat Jan 21 2012,7:00 pm,Cleveland Cavaliers,94,Atlanta Hawks,121,Box Score,,15922,
Sat Jan 21 2012,7:00 pm,Charlotte Bobcats,89,Chicago Bulls,95,Box Score,,21861,
Sat Jan 21 2012,7:30 pm,Portland Trail Blazers,91,Detroit Pistons,94,Box Score,,14456,
Sat Jan 21 2012,7:00 pm,San Antonio Spurs,102,Houston Rockets,105,Box Score,,15285,
Sat Jan 21 2012,7:00 pm,Sacramento Kings,95,Memphis Grizzlies,128,Box Score,,16562,
Sat Jan 21 2012,7:30 pm,Philadelphia 76ers,92,Miami Heat,113,Box Score,,19725,
Sat Jan 21 2012,8:00 pm,Oklahoma City Thunder,84,New Jersey Nets,74,Box Score,,15201,
Sat Jan 21 2012,7:00 pm,Dallas Mavericks,83,New Orleans Hornets,81,Box Score,,15471,
Sat Jan 21 2012,7:30 pm,Denver Nuggets,119,New York Knicks,114,Box Score,2OT,19763,
Sat Jan 21 2012,7:00 pm,Minnesota Timberwolves,98,Utah Jazz,108,Box Score,,19911,
Sun Jan 22 2012,12:30 pm,Toronto Raptors,91,Los Angeles Clippers,103,Box Score,,19060,
Sun Jan 22 2012,6:30 pm,Indiana Pacers,98,Los Angeles Lakers,96,Box Score,,18997,
Sun Jan 22 2012,6:00 pm,Milwaukee Bucks,91,Miami Heat,82,Box Score,,19600,
Sun Jan 22 2012,6:00 pm,Charlotte Bobcats,87,New Jersey Nets,97,Box Score,,10035,
Sun Jan 22 2012,1:00 pm,Boston Celtics,100,Washington Wizards,94,Box Score,,15818,
Mon Jan 23 2012,7:30 pm,Orlando Magic,56,Boston Celtics,87,Box Score,,18624,
Mon Jan 23 2012,7:00 pm,New Jersey Nets,95,Chicago Bulls,110,Box Score,,21572,
Mon Jan 23 2012,7:30 pm,Phoenix Suns,87,Dallas Mavericks,93,Box Score,,19944,
Mon Jan 23 2012,7:30 pm,Memphis Grizzlies,91,Golden State Warriors,90,Box Score,,17549,
Mon Jan 23 2012,7:00 pm,Atlanta Hawks,97,Milwaukee Bucks,92,Box Score,,13048,
Mon Jan 23 2012,7:00 pm,Houston Rockets,107,Minnesota Timberwolves,92,Box Score,,16924,
Mon Jan 23 2012,7:00 pm,San Antonio Spurs,104,New Orleans Hornets,102,Box Score,,12599,
Mon Jan 23 2012,7:00 pm,Detroit Pistons,79,Oklahoma City Thunder,99,Box Score,,18203,
Mon Jan 23 2012,7:00 pm,Washington Wizards,83,Philadelphia 76ers,103,Box Score,,10108,
Mon Jan 23 2012,7:00 pm,Sacramento Kings,89,Portland Trail Blazers,101,Box Score,,20363,
Tue Jan 24 2012,7:00 pm,New York Knicks,111,Charlotte Bobcats,78,Box Score,,16802,
Tue Jan 24 2012,7:00 pm,Orlando Magic,102,Indiana Pacers,83,Box Score,,12760,
Tue Jan 24 2012,7:30 pm,Cleveland Cavaliers,85,Miami Heat,92,Box Score,,19600,
Tue Jan 24 2012,7:00 pm,Toronto Raptors,99,Phoenix Suns,96,Box Score,,15404,
Tue Jan 24 2012,7:00 pm,Memphis Grizzlies,84,Portland Trail Blazers,97,Box Score,,20602,
Wed Jan 25 2012,7:00 pm,Indiana Pacers,95,Chicago Bulls,90,Box Score,,21755,
Wed Jan 25 2012,7:00 pm,New York Knicks,81,Cleveland Cavaliers,91,Box Score,,16760,
Wed Jan 25 2012,7:30 pm,Minnesota Timberwolves,105,Dallas Mavericks,90,Box Score,,20150,
Wed Jan 25 2012,7:30 pm,Miami Heat,101,Detroit Pistons,98,Box Score,,18058,
Wed Jan 25 2012,7:30 pm,Portland Trail Blazers,93,Golden State Warriors,101,Box Score,,17923,
Wed Jan 25 2012,7:00 pm,Milwaukee Bucks,105,Houston Rockets,99,Box Score,,10573,
Wed Jan 25 2012,7:30 pm,Los Angeles Clippers,91,Los Angeles Lakers,96,Box Score,,18997,
Wed Jan 25 2012,7:00 pm,New Orleans Hornets,91,Oklahoma City Thunder,101,Box Score,,18203,
Wed Jan 25 2012,7:00 pm,New Jersey Nets,97,Philadelphia 76ers,90,Box Score,OT,13138,
