Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Sun Dec 25 2011,1:30 pm,Miami Heat,105,Dallas Mavericks,94,Box Score,,20421,
Sun Dec 25 2011,7:30 pm,Los Angeles Clippers,105,Golden State Warriors,86,Box Score,,19596,
Sun Dec 25 2011,2:00 pm,Chicago Bulls,88,Los Angeles Lakers,87,Box Score,,18997,
Sun Dec 25 2011,12:00 pm,Boston Celtics,104,New York Knicks,106,Box Score,,19763,
Sun Dec 25 2011,7:00 pm,Orlando Magic,89,Oklahoma City Thunder,97,Box Score,,18203,
Mon Dec 26 2011,7:00 pm,Milwaukee Bucks,95,Charlotte Bobcats,96,Box Score,,17173,
Mon Dec 26 2011,7:00 pm,Toronto Raptors,104,Cleveland Cavaliers,96,Box Score,,20562,
Mon Dec 26 2011,7:30 pm,Denver Nuggets,115,Dallas Mavericks,93,Box Score,,20408,
Mon Dec 26 2011,7:30 pm,Chicago Bulls,91,Golden State Warriors,99,Box Score,,19596,
Mon Dec 26 2011,7:00 pm,Detroit Pistons,79,Indiana Pacers,91,Box Score,,18165,
Mon Dec 26 2011,7:00 pm,Oklahoma City Thunder,104,Minnesota Timberwolves,100,Box Score,,19406,
Mon Dec 26 2011,7:00 pm,Houston Rockets,95,Orlando Magic,104,Box Score,,18846,
Mon Dec 26 2011,7:00 pm,New Orleans Hornets,85,Phoenix Suns,84,Box Score,,17776,
Mon Dec 26 2011,7:00 pm,Philadelphia 76ers,103,Portland Trail Blazers,107,Box Score,,20509,
Mon Dec 26 2011,7:00 pm,Los Angeles Lakers,91,Sacramento Kings,100,Box Score,,17317,
Mon Dec 26 2011,7:30 pm,Memphis Grizzlies,82,San Antonio Spurs,95,Box Score,,18581,
Mon Dec 26 2011,7:00 pm,New Jersey Nets,90,Washington Wizards,84,Box Score,,17102,
Tue Dec 27 2011,7:30 pm,Utah Jazz,71,Los Angeles Lakers,96,Box Score,,18997,
Tue Dec 27 2011,8:00 pm,Boston Celtics,107,Miami Heat,115,Box Score,,20166,
Tue Dec 27 2011,7:30 pm,Minnesota Timberwolves,95,Milwaukee Bucks,98,Box Score,,17352,
Tue Dec 27 2011,7:30 pm,Atlanta Hawks,106,New Jersey Nets,70,Box Score,,18711,
Tue Dec 27 2011,7:00 pm,Sacramento Kings,79,Portland Trail Blazers,101,Box Score,,20350,
Wed Dec 28 2011,7:30 pm,Washington Wizards,83,Atlanta Hawks,101,Box Score,,17750,
Wed Dec 28 2011,7:00 pm,Miami Heat,96,Charlotte Bobcats,95,Box Score,,19614,
Wed Dec 28 2011,7:00 pm,Utah Jazz,100,Denver Nuggets,117,Box Score,,19155,
Wed Dec 28 2011,7:30 pm,Cleveland Cavaliers,105,Detroit Pistons,89,Box Score,,22076,
Wed Dec 28 2011,7:30 pm,New York Knicks,78,Golden State Warriors,92,Box Score,,19596,
Wed Dec 28 2011,7:00 pm,Oklahoma City Thunder,98,Memphis Grizzlies,95,Box Score,,18119,
Wed Dec 28 2011,7:00 pm,Boston Celtics,78,New Orleans Hornets,97,Box Score,,17802,
Wed Dec 28 2011,7:00 pm,Philadelphia 76ers,103,Phoenix Suns,83,Box Score,,16360,
Wed Dec 28 2011,7:30 pm,Los Angeles Clippers,90,San Antonio Spurs,115,Box Score,,18581,
Wed Dec 28 2011,6:00 pm,Indiana Pacers,90,Toronto Raptors,85,Box Score,,19800,
Thu Dec 29 2011,7:00 pm,San Antonio Spurs,85,Houston Rockets,105,Box Score,,18267,
Thu Dec 29 2011,7:30 pm,New York Knicks,82,Los Angeles Lakers,99,Box Score,,18997,
Thu Dec 29 2011,7:00 pm,Dallas Mavericks,102,Oklahoma City Thunder,104,Box Score,,18203,
Thu Dec 29 2011,7:00 pm,New Jersey Nets,78,Orlando Magic,94,Box Score,,18954,
Thu Dec 29 2011,7:00 pm,Denver Nuggets,102,Portland Trail Blazers,111,Box Score,,20531,
Thu Dec 29 2011,7:00 pm,Chicago Bulls,108,Sacramento Kings,98,Box Score,,17317,
Fri Dec 30 2011,7:30 pm,New Jersey Nets,98,Atlanta Hawks,105,Box Score,,16300,
Fri Dec 30 2011,7:30 pm,Detroit Pistons,85,Boston Celtics,96,Box Score,,18624,
Fri Dec 30 2011,7:00 pm,Orlando Magic,100,Charlotte Bobcats,79,Box Score,,18064,
Fri Dec 30 2011,7:30 pm,Toronto Raptors,86,Dallas Mavericks,99,Box Score,,20307,
Fri Dec 30 2011,7:00 pm,Cleveland Cavaliers,91,Indiana Pacers,98,Box Score,OT,13004,
Fri Dec 30 2011,7:30 pm,Chicago Bulls,114,Los Angeles Clippers,101,Box Score,,19426,
Fri Dec 30 2011,7:00 pm,Houston Rockets,93,Memphis Grizzlies,113,Box Score,,16069,
Fri Dec 30 2011,7:30 pm,Washington Wizards,81,Milwaukee Bucks,102,Box Score,,17065,
Fri Dec 30 2011,7:00 pm,Miami Heat,103,Minnesota Timberwolves,101,Box Score,,19356,
Fri Dec 30 2011,7:00 pm,Phoenix Suns,93,New Orleans Hornets,78,Box Score,,15790,
Fri Dec 30 2011,7:00 pm,Philadelphia 76ers,99,Utah Jazz,102,Box Score,,19911,
Sat Dec 31 2011,6:00 pm,Indiana Pacers,88,Detroit Pistons,96,Box Score,,8824,
Sat Dec 31 2011,6:00 pm,Philadelphia 76ers,107,Golden State Warriors,79,Box Score,,19084,
Sat Dec 31 2011,6:00 pm,Atlanta Hawks,84,Houston Rockets,95,Box Score,,14390,
Sat Dec 31 2011,12:30 pm,Denver Nuggets,89,Los Angeles Lakers,92,Box Score,,18997,
Sat Dec 31 2011,7:00 pm,Phoenix Suns,97,Oklahoma City Thunder,107,Box Score,,18203,
Sat Dec 31 2011,5:00 pm,New York Knicks,114,Sacramento Kings,92,Box Score,,16175,
Sat Dec 31 2011,7:30 pm,Utah Jazz,89,San Antonio Spurs,104,Box Score,,17769,
Sun Jan 1 2012,7:00 pm,Memphis Grizzlies,64,Chicago Bulls,104,Box Score,,22763,
Sun Jan 1 2012,6:00 pm,New Jersey Nets,82,Cleveland Cavaliers,98,Box Score,,15084,
Sun Jan 1 2012,6:00 pm,Los Angeles Lakers,90,Denver Nuggets,99,Box Score,,19155,
Sun Jan 1 2012,6:30 pm,Portland Trail Blazers,88,Los Angeles Clippers,93,Box Score,,19060,
Sun Jan 1 2012,6:00 pm,Charlotte Bobcats,90,Miami Heat,129,Box Score,,20016,
Sun Jan 1 2012,6:00 pm,Dallas Mavericks,82,Minnesota Timberwolves,99,Box Score,,15115,
Sun Jan 1 2012,6:00 pm,Toronto Raptors,96,Orlando Magic,102,Box Score,,18846,
Sun Jan 1 2012,6:00 pm,New Orleans Hornets,80,Sacramento Kings,96,Box Score,,13628,
Sun Jan 1 2012,6:00 pm,Boston Celtics,94,Washington Wizards,86,Box Score,,17458,
Mon Jan 2 2012,7:30 pm,Washington Wizards,92,Boston Celtics,100,Box Score,,18624,
Mon Jan 2 2012,7:30 pm,Oklahoma City Thunder,87,Dallas Mavericks,100,Box Score,,20108,
Mon Jan 2 2012,7:00 pm,Milwaukee Bucks,86,Denver Nuggets,91,Box Score,,14142,
Mon Jan 2 2012,7:30 pm,Orlando Magic,78,Detroit Pistons,89,Box Score,,8120,
Mon Jan 2 2012,7:30 pm,Atlanta Hawks,100,Miami Heat,92,Box Score,,20078,
Mon Jan 2 2012,7:00 pm,San Antonio Spurs,96,Minnesota Timberwolves,106,Box Score,,14514,
Mon Jan 2 2012,7:30 pm,Indiana Pacers,108,New Jersey Nets,94,Box Score,,12519,
Mon Jan 2 2012,7:30 pm,Toronto Raptors,90,New York Knicks,85,Box Score,,19763,
Mon Jan 2 2012,1:30 pm,Golden State Warriors,91,Phoenix Suns,102,Box Score,,14793,
Mon Jan 2 2012,7:00 pm,New Orleans Hornets,90,Utah Jazz,94,Box Score,,19159,
Tue Jan 3 2012,7:00 pm,Atlanta Hawks,74,Chicago Bulls,76,Box Score,,22166,
Tue Jan 3 2012,7:00 pm,Charlotte Bobcats,101,Cleveland Cavaliers,115,Box Score,,14173,
Tue Jan 3 2012,7:30 pm,Houston Rockets,99,Los Angeles Lakers,108,Box Score,,18997,
Tue Jan 3 2012,7:00 pm,Sacramento Kings,96,Memphis Grizzlies,113,Box Score,,12391,
Tue Jan 3 2012,7:00 pm,Portland Trail Blazers,103,Oklahoma City Thunder,93,Box Score,,18203,
Tue Jan 3 2012,7:00 pm,Milwaukee Bucks,73,Utah Jazz,85,Box Score,,17756,
