win,lose,probability
Dallas Mavericks,Miami Heat,0.610665243068196
Golden State Warriors,Los Angeles Clippers,0.6150229464125126
Chicago Bulls,Los Angeles Lakers,0.5187540233300212
Boston Celtics,New York Knicks,0.6394351127851984
Oklahoma City Thunder,Orlando Magic,0.6361004487651207
Milwaukee Bucks,Charlotte Hornets,0.5292257695049818
Cleveland Cavaliers,Toronto Raptors,0.5849647558988731
Dallas Mavericks,Denver Nuggets,0.7468944551098443
Chicago Bulls,Golden State Warriors,0.7666442500698293
Indiana Pacers,Detroit Pistons,0.6604187595052649
Oklahoma City Thunder,Minnesota Timberwolves,0.9068319834333001
Orlando Magic,Houston Rockets,0.6152770980179532
New Orleans Pelicans,Phoenix Suns,0.54511983674488
Portland Trail Blazers,Philadelphia 76ers,0.6883081403389105
Los Angeles Lakers,Sacramento Kings,0.8235327330970907
San Antonio Spurs,Memphis Grizzlies,0.6061822583100684
Washington Wizards,Brooklyn Nets,0.5904359279502143
Los Angeles Lakers,Utah Jazz,0.830139008477769
Miami Heat,Boston Celtics,0.7119149675555473
Milwaukee Bucks,Minnesota Timberwolves,0.8135192241212424
Atlanta Hawks,Brooklyn Nets,0.7943230303895513
Portland Trail Blazers,Sacramento Kings,0.8335351362475605
Atlanta Hawks,Washington Wizards,0.8421868986777583
Miami Heat,Charlotte Hornets,0.8378320835642614
Denver Nuggets,Utah Jazz,0.7861322931200398
Detroit Pistons,Cleveland Cavaliers,0.7219489245306618
Golden State Warriors,New York Knicks,0.5392958391265162
Memphis Grizzlies,Oklahoma City Thunder,0.5137968766782944
Boston Celtics,New Orleans Pelicans,0.5648355122271986
Phoenix Suns,Philadelphia 76ers,0.5008133502119948
San Antonio Spurs,Los Angeles Clippers,0.8266526376338496
Indiana Pacers,Toronto Raptors,0.7250044339011996
San Antonio Spurs,Houston Rockets,0.5870499748649869
Los Angeles Lakers,New York Knicks,0.7810704979390353
Dallas Mavericks,Oklahoma City Thunder,0.5515894082863154
Orlando Magic,Brooklyn Nets,0.8910525378466861
Portland Trail Blazers,Denver Nuggets,0.5498601026024852
Chicago Bulls,Sacramento Kings,0.865007271695936
Atlanta Hawks,Brooklyn Nets,0.8534880264626509
Boston Celtics,Detroit Pistons,0.8548094587752162
Orlando Magic,Charlotte Hornets,0.716161476569266
Dallas Mavericks,Toronto Raptors,0.9570302484397406
Indiana Pacers,Cleveland Cavaliers,0.795969818243753
Chicago Bulls,Los Angeles Clippers,0.7977641970885543
Memphis Grizzlies,Houston Rockets,0.6254060113443157
Milwaukee Bucks,Washington Wizards,0.7566019707515907
Miami Heat,Minnesota Timberwolves,0.9403171612291877
New Orleans Pelicans,Phoenix Suns,0.643360713977458
Philadelphia 76ers,Utah Jazz,0.5307206357365444
Indiana Pacers,Detroit Pistons,0.5809871327982099
Philadelphia 76ers,Golden State Warriors,0.5202714468056372
Houston Rockets,Atlanta Hawks,0.5740707921353475
Los Angeles Lakers,Denver Nuggets,0.6085356685705919
Oklahoma City Thunder,Phoenix Suns,0.7794859020180411
New York Knicks,Sacramento Kings,0.6249354117115786
San Antonio Spurs,Utah Jazz,0.8271864104510243
Chicago Bulls,Memphis Grizzlies,0.7357082527183261
Cleveland Cavaliers,Brooklyn Nets,0.5648634181573086
Los Angeles Lakers,Denver Nuggets,0.5107102361892326
Portland Trail Blazers,Los Angeles Clippers,0.6427406970314505
Miami Heat,Charlotte Hornets,0.9032403847232209
Dallas Mavericks,Minnesota Timberwolves,0.9430024577031587
Orlando Magic,Toronto Raptors,0.898785445310559
New Orleans Pelicans,Sacramento Kings,0.7177673073381967
Boston Celtics,Washington Wizards,0.8368682982175621
Boston Celtics,Washington Wizards,0.9033808573646814
Dallas Mavericks,Oklahoma City Thunder,0.7174260117067468
Denver Nuggets,Milwaukee Bucks,0.7406705766874533
Orlando Magic,Detroit Pistons,0.7400239680653053
Miami Heat,Atlanta Hawks,0.8117943073301995
San Antonio Spurs,Minnesota Timberwolves,0.9072355383658255
Indiana Pacers,Brooklyn Nets,0.7392991705220835
New York Knicks,Toronto Raptors,0.819094928113222
Phoenix Suns,Golden State Warriors,0.5950490021360344
New Orleans Pelicans,Utah Jazz,0.576216946230693
Chicago Bulls,Atlanta Hawks,0.8187559725061686
Charlotte Hornets,Cleveland Cavaliers,0.6013027967712403
Los Angeles Lakers,Houston Rockets,0.6787711015502084
