Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%.1,TOV%.1,DRB%,FT/FGA.1,Arena,Attend.,Attend./G
1.0,Chicago Bulls,27.1,50.0,16.0,51,15,8.18,-0.76,7.43,107.4,98.3,89.1,0.255,0.205,0.523,0.49,13.2,32.6,0.184,0.45,12.8,74.3,0.175,United Center,731326,22151
2.0,San Antonio Spurs,27.5,50.0,16.0,48,18,7.17,0.11,7.28,110.9,103.2,92.9,0.261,0.257,0.562,0.528,12.8,25.1,0.195,0.489,12.9,76.0,0.168,AT&T Center,607095,18429
3.0,Oklahoma City Thunder,25.1,47.0,19.0,46,20,6.12,0.32,6.44,109.8,103.2,93.0,0.33399999999999996,0.252,0.5670000000000001,0.516,15.3,27.8,0.26899999999999996,0.465,13.0,72.1,0.207,Chesapeake Energy Arena,600699,18203
4.0,Miami Heat,28.3,46.0,20.0,47,19,5.98,-0.27,5.72,106.6,100.2,91.2,0.307,0.198,0.5489999999999999,0.505,14.5,26.6,0.23800000000000002,0.479,15.8,73.9,0.2,AmericanAirlines Arena,657855,19923
5.0,Philadelphia 76ers,24.9,35.0,31.0,43,23,4.24,-0.65,3.59,103.9,99.2,89.7,0.217,0.175,0.511,0.48,10.9,24.4,0.161,0.46,13.5,75.2,0.192,Wells Fargo Center,577597,17947
6.0,Denver Nuggets,26.6,38.0,28.0,39,27,2.88,0.29,3.16,109.2,106.2,94.2,0.326,0.243,0.556,0.516,14.1,27.7,0.239,0.508,14.3,74.3,0.185,Pepsi Center,561966,17224
7.0,Los Angeles Clippers,27.3,40.0,26.0,39,27,2.56,0.26,2.82,108.5,105.7,89.2,0.287,0.26899999999999996,0.5329999999999999,0.502,12.7,29.5,0.195,0.49200000000000005,14.2,73.2,0.245,STAPLES Center,634237,19201
8.0,Atlanta Hawks,27.9,40.0,26.0,41,25,3.44,-0.77,2.67,104.9,101.2,90.2,0.259,0.249,0.535,0.5,13.4,23.9,0.192,0.48,14.4,74.4,0.18600000000000003,Philips Arena,501593,15542
9.0,Indiana Pacers,26.3,42.0,24.0,41,25,3.3,-0.71,2.6,106.7,103.1,90.7,0.321,0.198,0.526,0.474,13.1,29.2,0.251,0.47600000000000003,14.1,72.3,0.222,Bankers Life Fieldhouse,467561,14783
10.0,Memphis Grizzlies,25.6,41.0,25.0,38,28,2.02,0.42,2.43,104.0,101.8,90.8,0.27699999999999997,0.157,0.515,0.473,13.6,29.8,0.21100000000000002,0.485,16.3,72.7,0.22699999999999998,FedEx Forum,518446,15971
11.0,New York Knicks,26.3,36.0,30.0,41,25,3.2,-0.81,2.39,104.4,101.0,93.2,0.306,0.28800000000000003,0.5329999999999999,0.49200000000000005,14.9,26.6,0.22699999999999998,0.485,15.9,73.7,0.22399999999999998,Madison Square Garden (IV),652179,19763
12.0,Boston Celtics,29.3,39.0,27.0,39,27,2.52,-0.26,2.26,101.0,98.2,90.4,0.257,0.19399999999999998,0.535,0.496,14.7,19.7,0.2,0.452,14.9,72.4,0.21600000000000003,TD Garden,614592,18624
13.0,Los Angeles Lakers,29.7,41.0,25.0,36,30,1.42,0.54,1.96,106.0,104.4,90.5,0.299,0.209,0.534,0.491,14.2,29.1,0.226,0.47600000000000003,10.7,74.8,0.158,STAPLES Center,626901,18997
14.0,Dallas Mavericks,31.3,36.0,30.0,35,31,0.95,0.83,1.78,103.3,102.3,91.4,0.24600000000000002,0.271,0.527,0.489,13.4,23.4,0.19,0.479,13.9,74.8,0.203,American Airlines Center,671050,20349
15.0,Utah Jazz,25.6,36.0,30.0,34,32,0.62,0.3,0.92,106.8,106.1,91.4,0.302,0.153,0.525,0.48100000000000004,13.0,30.2,0.22699999999999998,0.493,13.8,73.8,0.245,EnergySolutions Arena,637124,19341
16.0,Houston Rockets,26.2,34.0,32.0,34,32,0.23,0.35,0.57,105.5,105.2,91.7,0.235,0.24,0.529,0.49200000000000005,13.5,27.5,0.184,0.49,13.8,73.4,0.21,Toyota Center,506994,15363
17.0,Orlando Magic,27.5,37.0,29.0,35,31,0.79,-0.33,0.46,105.0,104.1,89.0,0.292,0.34600000000000003,0.5329999999999999,0.506,14.5,26.5,0.193,0.488,12.9,75.5,0.19,Amway Center,623587,18894
18.0,Phoenix Suns,28.9,33.0,33.0,32,34,-0.24,0.53,0.29,106.2,106.5,92.6,0.257,0.23800000000000002,0.536,0.499,13.3,25.8,0.19399999999999998,0.491,13.1,71.7,0.2,US Airways Center,514718,15598
19.0,Portland Trail Blazers,27.5,28.0,38.0,32,34,-0.62,0.41,-0.22,105.7,106.4,91.2,0.263,0.255,0.531,0.488,13.4,26.3,0.209,0.504,14.1,72.8,0.19899999999999998,Rose Garden Arena,676384,20496
20.0,Milwaukee Bucks,26.2,31.0,35.0,34,32,0.27,-0.5,-0.23,105.5,105.2,93.7,0.25,0.22399999999999998,0.521,0.48100000000000004,12.9,27.7,0.19399999999999998,0.489,14.6,70.9,0.217,Bradley Center,485717,14719
21.0,Minnesota Timberwolves,24.4,26.0,40.0,28,38,-2.2,0.37,-1.83,104.3,106.6,93.3,0.306,0.262,0.524,0.47700000000000004,14.0,27.5,0.23600000000000002,0.491,12.2,73.0,0.187,Target Center,577197,17491
22.0,Golden State Warriors,25.3,23.0,43.0,25,41,-3.41,0.62,-2.79,105.4,109.1,92.3,0.22699999999999998,0.248,0.539,0.505,13.3,22.9,0.175,0.496,13.6,69.1,0.237,Oracle Arena,622311,18858
23.0,New Orleans Pelicans,25.5,21.0,45.0,24,42,-3.76,0.65,-3.11,100.9,105.1,88.3,0.27399999999999997,0.152,0.517,0.47600000000000003,15.2,27.5,0.207,0.485,13.5,73.1,0.218,New Orleans Arena,498618,15110
24.0,Toronto Raptors,25.7,23.0,43.0,25,41,-3.3,-0.36,-3.67,100.8,104.5,89.3,0.27399999999999997,0.209,0.518,0.475,14.8,25.9,0.21100000000000002,0.475,12.8,75.4,0.26,Air Canada Centre,555584,16836
25.0,Sacramento Kings,24.3,22.0,44.0,21,45,-5.68,0.73,-4.95,103.8,109.8,94.7,0.268,0.228,0.51,0.47200000000000003,13.0,29.1,0.19699999999999998,0.515,13.9,70.5,0.19899999999999998,Power Balance Pavilion,478764,14508
26.0,Washington Wizards,24.2,20.0,46.0,22,44,-4.8,-0.34,-5.14,101.0,106.2,92.5,0.253,0.196,0.508,0.47200000000000003,14.2,27.3,0.184,0.49200000000000005,14.2,70.9,0.22899999999999998,Verizon Center,552038,16728
27.0,Detroit Pistons,26.3,25.0,41.0,22,44,-4.79,-0.4,-5.19,101.0,106.3,89.2,0.27899999999999997,0.175,0.51,0.46799999999999997,15.0,28.1,0.21,0.5,14.2,72.8,0.226,The Palace of Auburn Hills,475638,14413
28.0,Brooklyn Nets,26.1,22.0,44.0,19,47,-5.98,-0.39,-6.37,102.9,109.6,90.1,0.26899999999999996,0.278,0.516,0.473,14.3,27.8,0.209,0.513,13.7,70.7,0.209,Prudential Center,460719,13961
29.0,Cleveland Cavaliers,26.0,21.0,45.0,17,49,-7.2,-0.14,-7.34,101.1,108.9,91.3,0.307,0.23800000000000002,0.505,0.46299999999999997,14.3,28.9,0.22,0.508,13.1,72.2,0.20199999999999999,Quicken Loans Arena,525577,15927
30.0,Charlotte Hornets,24.5,7.0,59.0,7,59,-13.91,-0.05,-13.96,95.2,110.4,91.1,0.276,0.16899999999999998,0.483,0.439,13.9,23.6,0.20600000000000002,0.512,12.8,70.9,0.20600000000000002,Time Warner Cable Arena,486984,14757
