Visitor/Neutral,Home/Neutral
Miami Heat,Dallas Mavericks
Los Angeles Clippers,Golden State Warriors
Chicago Bulls,Los Angeles Lakers
Boston Celtics,New York Knicks
Orlando Magic,Oklahoma City Thunder
Milwaukee Bucks,Charlotte Hornets
Toronto Raptors,Cleveland Cavaliers
Denver Nuggets,Dallas Mavericks
Chicago Bulls,Golden State Warriors
Detroit Pistons,Indiana Pacers
Oklahoma City Thunder,Minnesota Timberwolves
Houston Rockets,Orlando Magic
New Orleans Pelicans,Phoenix Suns
Philadelphia 76ers,Portland Trail Blazers
Los Angeles Lakers,Sacramento Kings
Memphis Grizzlies,San Antonio Spurs
Brooklyn Nets,Washington Wizards
Utah Jazz,Los Angeles Lakers
Boston Celtics,Miami Heat
Minnesota Timberwolves,Milwaukee Bucks
Atlanta Hawks,Brooklyn Nets
Sacramento Kings,Portland Trail Blazers
Washington Wizards,Atlanta Hawks
Miami Heat,Charlotte Hornets
Utah Jazz,Denver Nuggets
Cleveland Cavaliers,Detroit Pistons
New York Knicks,Golden State Warriors
Oklahoma City Thunder,Memphis Grizzlies
Boston Celtics,New Orleans Pelicans
Philadelphia 76ers,Phoenix Suns
Los Angeles Clippers,San Antonio Spurs
Indiana Pacers,Toronto Raptors
San Antonio Spurs,Houston Rockets
New York Knicks,Los Angeles Lakers
Dallas Mavericks,Oklahoma City Thunder
Brooklyn Nets,Orlando Magic
Denver Nuggets,Portland Trail Blazers
Chicago Bulls,Sacramento Kings
Brooklyn Nets,Atlanta Hawks
Detroit Pistons,Boston Celtics
Orlando Magic,Charlotte Hornets
Toronto Raptors,Dallas Mavericks
Cleveland Cavaliers,Indiana Pacers
Chicago Bulls,Los Angeles Clippers
Houston Rockets,Memphis Grizzlies
Washington Wizards,Milwaukee Bucks
Miami Heat,Minnesota Timberwolves
Phoenix Suns,New Orleans Pelicans
Philadelphia 76ers,Utah Jazz
Indiana Pacers,Detroit Pistons
Philadelphia 76ers,Golden State Warriors
Atlanta Hawks,Houston Rockets
Denver Nuggets,Los Angeles Lakers
Phoenix Suns,Oklahoma City Thunder
New York Knicks,Sacramento Kings
Utah Jazz,San Antonio Spurs
Memphis Grizzlies,Chicago Bulls
Brooklyn Nets,Cleveland Cavaliers
Los Angeles Lakers,Denver Nuggets
Portland Trail Blazers,Los Angeles Clippers
Charlotte Hornets,Miami Heat
Dallas Mavericks,Minnesota Timberwolves
Toronto Raptors,Orlando Magic
New Orleans Pelicans,Sacramento Kings
Boston Celtics,Washington Wizards
Washington Wizards,Boston Celtics
Oklahoma City Thunder,Dallas Mavericks
Milwaukee Bucks,Denver Nuggets
Orlando Magic,Detroit Pistons
Atlanta Hawks,Miami Heat
