WTeam,LTeam,WLoc
Miami Heat,Dallas Mavericks,V
Los Angeles Clippers,Golden State Warriors,V
Chicago Bulls,Los Angeles Lakers,V
New York Knicks,Boston Celtics,H
Oklahoma City Thunder,Orlando Magic,H
Charlotte Hornets,Milwaukee Bucks,H
Toronto Raptors,Cleveland Cavaliers,V
Denver Nuggets,Dallas Mavericks,V
Golden State Warriors,Chicago Bulls,H
Indiana Pacers,Detroit Pistons,H
Oklahoma City Thunder,Minnesota Timberwolves,V
Orlando Magic,Houston Rockets,H
New Orleans Pelicans,Phoenix Suns,V
Portland Trail Blazers,Philadelphia 76ers,H
Sacramento Kings,Los Angeles Lakers,H
San Antonio Spurs,Memphis Grizzlies,H
Brooklyn Nets,Washington Wizards,V
Los Angeles Lakers,Utah Jazz,H
Miami Heat,Boston Celtics,H
Milwaukee Bucks,Minnesota Timberwolves,H
Atlanta Hawks,Brooklyn Nets,V
Portland Trail Blazers,Sacramento Kings,H
Atlanta Hawks,Washington Wizards,H
Miami Heat,Charlotte Hornets,V
Denver Nuggets,Utah Jazz,H
Cleveland Cavaliers,Detroit Pistons,V
Golden State Warriors,New York Knicks,H
Oklahoma City Thunder,Memphis Grizzlies,V
New Orleans Pelicans,Boston Celtics,H
Philadelphia 76ers,Phoenix Suns,V
San Antonio Spurs,Los Angeles Clippers,H
Indiana Pacers,Toronto Raptors,V
Houston Rockets,San Antonio Spurs,H
Los Angeles Lakers,New York Knicks,H
Oklahoma City Thunder,Dallas Mavericks,H
Orlando Magic,Brooklyn Nets,H
Portland Trail Blazers,Denver Nuggets,H
Chicago Bulls,Sacramento Kings,V
Atlanta Hawks,Brooklyn Nets,H
Boston Celtics,Detroit Pistons,H
Orlando Magic,Charlotte Hornets,V
Dallas Mavericks,Toronto Raptors,H
Indiana Pacers,Cleveland Cavaliers,H
Chicago Bulls,Los Angeles Clippers,V
Memphis Grizzlies,Houston Rockets,H
Milwaukee Bucks,Washington Wizards,H
Miami Heat,Minnesota Timberwolves,V
