Visitor/Neutral,Home/Neutral
Houston Rockets,Los Angeles Lakers
Orlando Magic,New Orleans Pelicans
Dallas Mavericks,San Antonio Spurs
Brooklyn Nets,Boston Celtics
Milwaukee Bucks,Charlotte Hornets
Detroit Pistons,Denver Nuggets
Philadelphia 76ers,Indiana Pacers
Minnesota Timberwolves,Memphis Grizzlies
Washington Wizards,Miami Heat
Chicago Bulls,New York Knicks
Los Angeles Lakers,Phoenix Suns
Oklahoma City Thunder,Portland Trail Blazers
Golden State Warriors,Sacramento Kings
Atlanta Hawks,Toronto Raptors
Houston Rockets,Utah Jazz
New York Knicks,Cleveland Cavaliers
Utah Jazz,Dallas Mavericks
Oklahoma City Thunder,Los Angeles Clippers
Detroit Pistons,Minnesota Timberwolves
Washington Wizards,Orlando Magic
Cleveland Cavaliers,Chicago Bulls
Memphis Grizzlies,Indiana Pacers
Los Angeles Clippers,Los Angeles Lakers
Philadelphia 76ers,Milwaukee Bucks
San Antonio Spurs,Phoenix Suns
Portland Trail Blazers,Sacramento Kings
Indiana Pacers,Atlanta Hawks
Memphis Grizzlies,Charlotte Hornets
Brooklyn Nets,Detroit Pistons
Los Angeles Lakers,Golden State Warriors
Boston Celtics,Houston Rockets
Chicago Bulls,Minnesota Timberwolves
Dallas Mavericks,New Orleans Pelicans
Denver Nuggets,Oklahoma City Thunder
Toronto Raptors,Orlando Magic
Miami Heat,Philadelphia 76ers
Phoenix Suns,Utah Jazz
Milwaukee Bucks,Washington Wizards
Sacramento Kings,Los Angeles Clippers
Toronto Raptors,Miami Heat
Charlotte Hornets,New York Knicks
Golden State Warriors,Portland Trail Blazers
Oklahoma City Thunder,Brooklyn Nets
Boston Celtics,Dallas Mavericks
Sacramento Kings,Denver Nuggets
Utah Jazz,Los Angeles Clippers
New Orleans Pelicans,Memphis Grizzlies
Houston Rockets,Philadelphia 76ers
Orlando Magic,Chicago Bulls
Milwaukee Bucks,Indiana Pacers
Phoenix Suns,Los Angeles Lakers
Houston Rockets,Miami Heat
Charlotte Hornets,New Orleans Pelicans
Washington Wizards,New York Knicks
Cleveland Cavaliers,Portland Trail Blazers
Oklahoma City Thunder,Toronto Raptors
Toronto Raptors,Boston Celtics
Minnesota Timberwolves,Brooklyn Nets
Miami Heat,Charlotte Hornets
New York Knicks,Detroit Pistons
Los Angeles Clippers,Golden State Warriors
Chicago Bulls,Milwaukee Bucks
Orlando Magic,Philadelphia 76ers
Memphis Grizzlies,Phoenix Suns
Denver Nuggets,Sacramento Kings
Atlanta Hawks,San Antonio Spurs
Cleveland Cavaliers,Utah Jazz
Indiana Pacers,Washington Wizards
San Antonio Spurs,Houston Rockets
Dallas Mavericks,Portland Trail Blazers
Indiana Pacers,Boston Celtics
New York Knicks,Brooklyn Nets
Atlanta Hawks,Charlotte Hornets
Cleveland Cavaliers,Denver Nuggets
Milwaukee Bucks,Detroit Pistons
Memphis Grizzlies,Oklahoma City Thunder
Minnesota Timberwolves,Orlando Magic
Chicago Bulls,Philadelphia 76ers
Sacramento Kings,Phoenix Suns
Washington Wizards,Toronto Raptors
Dallas Mavericks,Utah Jazz
New York Knicks,Atlanta Hawks
Boston Celtics,Chicago Bulls
Golden State Warriors,Houston Rockets
Washington Wizards,Indiana Pacers
Portland Trail Blazers,Los Angeles Clippers
Minnesota Timberwolves,Miami Heat
Memphis Grizzlies,Milwaukee Bucks
New Orleans Pelicans,San Antonio Spurs
Orlando Magic,Brooklyn Nets
Miami Heat,Dallas Mavericks
Utah Jazz,Detroit Pistons
Charlotte Hornets,Los Angeles Lakers
Sacramento Kings,Oklahoma City Thunder
Golden State Warriors,Phoenix Suns
Denver Nuggets,Portland Trail Blazers
Philadelphia 76ers,Toronto Raptors
Detroit Pistons,Chicago Bulls
New Orleans Pelicans,Cleveland Cavaliers
Utah Jazz,Indiana Pacers
San Antonio Spurs,Los Angeles Clippers
Atlanta Hawks,New York Knicks
Sacramento Kings,Dallas Mavericks
San Antonio Spurs,Golden State Warriors
Los Angeles Lakers,Memphis Grizzlies
Oklahoma City Thunder,Milwaukee Bucks
Charlotte Hornets,Portland Trail Blazers
Orlando Magic,Toronto Raptors
Utah Jazz,Atlanta Hawks
Oklahoma City Thunder,Boston Celtics
Portland Trail Blazers,Denver Nuggets
Indiana Pacers,Miami Heat
Houston Rockets,Minnesota Timberwolves
Los Angeles Lakers,New Orleans Pelicans
Orlando Magic,New York Knicks
Brooklyn Nets,Phoenix Suns
Detroit Pistons,Washington Wizards
Philadelphia 76ers,Dallas Mavericks
Brooklyn Nets,Golden State Warriors
Sacramento Kings,Memphis Grizzlies
Chicago Bulls,Toronto Raptors
Miami Heat,Atlanta Hawks
Cleveland Cavaliers,Boston Celtics
Philadelphia 76ers,Houston Rockets
Denver Nuggets,Indiana Pacers
San Antonio Spurs,Los Angeles Lakers
Minnesota Timberwolves,New Orleans Pelicans
Utah Jazz,New York Knicks
Detroit Pistons,Oklahoma City Thunder
Milwaukee Bucks,Orlando Magic
Charlotte Hornets,Phoenix Suns
Indiana Pacers,Chicago Bulls
Atlanta Hawks,Cleveland Cavaliers
Minnesota Timberwolves,Dallas Mavericks
Charlotte Hornets,Golden State Warriors
Phoenix Suns,Los Angeles Clippers
Detroit Pistons,Memphis Grizzlies
Brooklyn Nets,Portland Trail Blazers
San Antonio Spurs,Sacramento Kings
Utah Jazz,Toronto Raptors
Orlando Magic,Washington Wizards
Golden State Warriors,Los Angeles Lakers
Milwaukee Bucks,Miami Heat
Denver Nuggets,New York Knicks
Houston Rockets,Oklahoma City Thunder
Phoenix Suns,Boston Celtics
Miami Heat,Brooklyn Nets
Dallas Mavericks,Charlotte Hornets
Denver Nuggets,Cleveland Cavaliers
Orlando Magic,Detroit Pistons
Chicago Bulls,Los Angeles Clippers
Houston Rockets,Memphis Grizzlies
New Orleans Pelicans,Portland Trail Blazers
Philadelphia 76ers,San Antonio Spurs
Los Angeles Lakers,Atlanta Hawks
New York Knicks,Milwaukee Bucks
New Orleans Pelicans,Sacramento Kings
Oklahoma City Thunder,Utah Jazz
Milwaukee Bucks,Brooklyn Nets
San Antonio Spurs,Cleveland Cavaliers
Oklahoma City Thunder,Denver Nuggets
Phoenix Suns,Detroit Pistons
Los Angeles Lakers,Houston Rockets
Charlotte Hornets,Indiana Pacers
New York Knicks,Minnesota Timberwolves
Los Angeles Clippers,Orlando Magic
Boston Celtics,Philadelphia 76ers
Memphis Grizzlies,Toronto Raptors
Dallas Mavericks,Washington Wizards
Los Angeles Clippers,Miami Heat
Chicago Bulls,Sacramento Kings
Detroit Pistons,Atlanta Hawks
Orlando Magic,Charlotte Hornets
Los Angeles Lakers,Dallas Mavericks
New Orleans Pelicans,Denver Nuggets
Utah Jazz,Golden State Warriors
Boston Celtics,Memphis Grizzlies
San Antonio Spurs,Minnesota Timberwolves
