win,lose,probability
New Orleans Pelicans,Los Angeles Lakers,0.6861315407142401
New York Knicks,Orlando Magic,0.8005704743376585
Phoenix Suns,Brooklyn Nets,0.6583574915572225
Washington Wizards,Detroit Pistons,0.8183708751731423
Dallas Mavericks,Philadelphia 76ers,0.9285591348753532
Golden State Warriors,Brooklyn Nets,0.724139758594159
Memphis Grizzlies,Sacramento Kings,0.8396403128287261
Toronto Raptors,Chicago Bulls,0.614152627126359
Miami Heat,Atlanta Hawks,0.7003918408033147
Cleveland Cavaliers,Boston Celtics,0.5525511610511967
Houston Rockets,Philadelphia 76ers,0.9406775884926615
Indiana Pacers,Denver Nuggets,0.7957558124176412
San Antonio Spurs,Los Angeles Lakers,0.9078818640604547
Minnesota Timberwolves,New Orleans Pelicans,0.5419733377729593
New York Knicks,Utah Jazz,0.8098430972591172
Oklahoma City Thunder,Detroit Pistons,0.9222340254211943
Orlando Magic,Milwaukee Bucks,0.7042359954889573
Phoenix Suns,Charlotte Hornets,0.6691542228420941
Chicago Bulls,Indiana Pacers,0.5016020448495615
Atlanta Hawks,Cleveland Cavaliers,0.5188910038712314
Dallas Mavericks,Minnesota Timberwolves,0.6961616263799467
Golden State Warriors,Charlotte Hornets,0.7336985044150965
Los Angeles Clippers,Phoenix Suns,0.7177391467837931
Memphis Grizzlies,Detroit Pistons,0.8588459421270829
Portland Trail Blazers,Brooklyn Nets,0.730236810998114
San Antonio Spurs,Sacramento Kings,0.8742573373658099
Toronto Raptors,Utah Jazz,0.8804108723583536
Washington Wizards,Orlando Magic,0.8423793350202654
Golden State Warriors,Los Angeles Lakers,0.8099198590635455
Miami Heat,Milwaukee Bucks,0.9457138293884034
New York Knicks,Denver Nuggets,0.6366066060549549
Oklahoma City Thunder,Houston Rockets,0.6743065976796887
Phoenix Suns,Boston Celtics,0.7762822454101153
Miami Heat,Brooklyn Nets,0.6398997030452318
Dallas Mavericks,Charlotte Hornets,0.5751565830781331
Cleveland Cavaliers,Denver Nuggets,0.5294031889366785
Detroit Pistons,Orlando Magic,0.662560376524085
Los Angeles Clippers,Chicago Bulls,0.7498484264534403
Memphis Grizzlies,Houston Rockets,0.5150881871948385
Portland Trail Blazers,New Orleans Pelicans,0.8326720211911652
San Antonio Spurs,Philadelphia 76ers,0.966793365702253
Atlanta Hawks,Los Angeles Lakers,0.7115393430843152
New York Knicks,Milwaukee Bucks,0.7899115900078307
Sacramento Kings,New Orleans Pelicans,0.5416772356980906
Oklahoma City Thunder,Utah Jazz,0.8779676318914925
Brooklyn Nets,Milwaukee Bucks,0.8827063072398873
San Antonio Spurs,Cleveland Cavaliers,0.8579630576638291
Oklahoma City Thunder,Denver Nuggets,0.751803019394798
Phoenix Suns,Detroit Pistons,0.7235625188398621
Houston Rockets,Los Angeles Lakers,0.8785019610196726
Indiana Pacers,Charlotte Hornets,0.7289905351602114
Minnesota Timberwolves,New York Knicks,0.6210271534309304
Los Angeles Clippers,Orlando Magic,0.8678313899227545
Boston Celtics,Philadelphia 76ers,0.53210871457129
Toronto Raptors,Memphis Grizzlies,0.5604343893898527
Dallas Mavericks,Washington Wizards,0.5164134077463617
Miami Heat,Los Angeles Clippers,0.5270236041790975
Chicago Bulls,Sacramento Kings,0.6606326841147212
Atlanta Hawks,Detroit Pistons,0.7315996434408364
Charlotte Hornets,Orlando Magic,0.808267936730111
Dallas Mavericks,Los Angeles Lakers,0.8556315023143644
Denver Nuggets,New Orleans Pelicans,0.62626179322078
Golden State Warriors,Utah Jazz,0.9065536927631755
Memphis Grizzlies,Boston Celtics,0.8828801491408225
San Antonio Spurs,Minnesota Timberwolves,0.7573785183913166
Oklahoma City Thunder,Brooklyn Nets,0.8015069425552185
Phoenix Suns,Philadelphia 76ers,0.8592534145255238
Portland Trail Blazers,Chicago Bulls,0.6838393184135092
Toronto Raptors,Milwaukee Bucks,0.924689005085928
Washington Wizards,Cleveland Cavaliers,0.7450262586698627
Toronto Raptors,Cleveland Cavaliers,0.6421196092713077
Houston Rockets,Dallas Mavericks,0.6241441556527291
Indiana Pacers,Phoenix Suns,0.6346566328305938
Washington Wizards,Milwaukee Bucks,0.8297507915878726
Minnesota Timberwolves,Sacramento Kings,0.7835009064392902
New York Knicks,Philadelphia 76ers,0.8704095644247193
Miami Heat,Orlando Magic,0.8488601319279672
San Antonio Spurs,Brooklyn Nets,0.8331985809280101
New Orleans Pelicans,Utah Jazz,0.5863408262310252
Portland Trail Blazers,Boston Celtics,0.8181930160435004
Denver Nuggets,Los Angeles Lakers,0.5918986692540718
Los Angeles Clippers,Memphis Grizzlies,0.5504306261221363
Miami Heat,Charlotte Hornets,0.7478864876735167
Oklahoma City Thunder,Golden State Warriors,0.6763215533889493
Los Angeles Clippers,Charlotte Hornets,0.6770054858022303
Cleveland Cavaliers,Orlando Magic,0.7205006491417584
Dallas Mavericks,Indiana Pacers,0.5535524239355665
Houston Rockets,New York Knicks,0.7568971370661782
Portland Trail Blazers,Philadelphia 76ers,0.8878658377461848
Toronto Raptors,Phoenix Suns,0.5745090263741113
Chicago Bulls,Utah Jazz,0.7653198716614213
Chicago Bulls,Denver Nuggets,0.5785926345389594
Miami Heat,Golden State Warriors,0.5939144168859551
Detroit Pistons,Milwaukee Bucks,0.5943393749086299
New Orleans Pelicans,Sacramento Kings,0.6751987591428293
Washington Wizards,Atlanta Hawks,0.6577971226288495
Toronto Raptors,Atlanta Hawks,0.5885751105808008
Portland Trail Blazers,Charlotte Hornets,0.6125762508536343
Washington Wizards,Cleveland Cavaliers,0.6048398348568729
Dallas Mavericks,New York Knicks,0.7184717197654801
Los Angeles Clippers,Detroit Pistons,0.818187213310431
Houston Rockets,Sacramento Kings,0.873029914838804
Memphis Grizzlies,Los Angeles Lakers,0.7750233358986441
Minnesota Timberwolves,Milwaukee Bucks,0.8982282359634407
Oklahoma City Thunder,Utah Jazz,0.9371982974894314
Golden State Warriors,Orlando Magic,0.8334041035702731
Brooklyn Nets,Philadelphia 76ers,0.8053731205304004
Phoenix Suns,Denver Nuggets,0.7455146122861446
San Antonio Spurs,Indiana Pacers,0.7352657605381027
Atlanta Hawks,New Orleans Pelicans,0.6304756271375139
Chicago Bulls,Boston Celtics,0.7464185488135116
Golden State Warriors,Charlotte Hornets,0.6149274637909267
Phoenix Suns,Denver Nuggets,0.6181086718759303
Detroit Pistons,Milwaukee Bucks,0.7764950992522092
Houston Rockets,Los Angeles Clippers,0.5175061659005531
Indiana Pacers,Orlando Magic,0.8992730955731812
Minnesota Timberwolves,Los Angeles Lakers,0.6821302776760966
Oklahoma City Thunder,New York Knicks,0.8220993527202219
Portland Trail Blazers,Memphis Grizzlies,0.6340418551541372
San Antonio Spurs,Sacramento Kings,0.9266028627850964
Toronto Raptors,Dallas Mavericks,0.5487157304048965
Charlotte Hornets,Atlanta Hawks,0.5065553207451451
Indiana Pacers,Cleveland Cavaliers,0.7084900674081314
Houston Rockets,Milwaukee Bucks,0.8935284310249835
Dallas Mavericks,Philadelphia 76ers,0.8714557510306913
Los Angeles Clippers,Utah Jazz,0.8685857039430821
Washington Wizards,New Orleans Pelicans,0.738242314123771
San Antonio Spurs,Boston Celtics,0.9131425547579816
Chicago Bulls,Brooklyn Nets,0.5061792320200946
Golden State Warriors,Detroit Pistons,0.7741932931278807
Toronto Raptors,Los Angeles Lakers,0.7453842537148907
Miami Heat,New York Knicks,0.6531115895749795
Phoenix Suns,Orlando Magic,0.8703468552256932
Portland Trail Blazers,Minnesota Timberwolves,0.7355397092242678
Memphis Grizzlies,Sacramento Kings,0.7084754824908936
Los Angeles Clippers,Minnesota Timberwolves,0.7940061793131324
San Antonio Spurs,Philadelphia 76ers,0.9487094341102711
Denver Nuggets,Utah Jazz,0.6315495919180091
Miami Heat,Washington Wizards,0.5857854130119877
Atlanta Hawks,Boston Celtics,0.7715365353272193
Chicago Bulls,Dallas Mavericks,0.5249044094043637
Cleveland Cavaliers,Milwaukee Bucks,0.8201815886227303
Portland Trail Blazers,Denver Nuggets,0.6773346910230376
Detroit Pistons,Los Angeles Lakers,0.5996850658866755
Golden State Warriors,Orlando Magic,0.9014229329817002
Oklahoma City Thunder,New Orleans Pelicans,0.7704729006078337
New York Knicks,Brooklyn Nets,0.5353951440704684
Phoenix Suns,Indiana Pacers,0.5172483386283271
Toronto Raptors,Sacramento Kings,0.6737596831731715
Boston Celtics,Detroit Pistons,0.5552993728520463
San Antonio Spurs,Brooklyn Nets,0.7854544769228312
Chicago Bulls,Charlotte Hornets,0.5083999901254395
Houston Rockets,Memphis Grizzlies,0.6352062929351538
Los Angeles Clippers,Orlando Magic,0.9289190279962246
Miami Heat,Atlanta Hawks,0.7797984553601989
Dallas Mavericks,Milwaukee Bucks,0.8757689983280593
Minnesota Timberwolves,Philadelphia 76ers,0.8930022056722443
Toronto Raptors,Utah Jazz,0.7757719049698185
Washington Wizards,Los Angeles Lakers,0.8030500025294591
Golden State Warriors,New Orleans Pelicans,0.8283459350940833
New York Knicks,Cleveland Cavaliers,0.6869897445752322
Portland Trail Blazers,Indiana Pacers,0.6008149608624511
Boston Celtics,Los Angeles Lakers,0.5305181129545102
Brooklyn Nets,Atlanta Hawks,0.6047109491739419
Charlotte Hornets,New York Knicks,0.5806994522980494
Dallas Mavericks,Phoenix Suns,0.6018346651529153
San Antonio Spurs,Memphis Grizzlies,0.6833028474879209
Miami Heat,Milwaukee Bucks,0.9032484887427571
Houston Rockets,Minnesota Timberwolves,0.5766405014078995
Oklahoma City Thunder,Philadelphia 76ers,0.9195187592633206
Indiana Pacers,Sacramento Kings,0.7366687152953921
Toronto Raptors,Cleveland Cavaliers,0.7914056465372044
Utah Jazz,Orlando Magic,0.5720762811736372
Washington Wizards,Denver Nuggets,0.6999041355840206
Golden State Warriors,Chicago Bulls,0.5163568613093781
Detroit Pistons,Philadelphia 76ers,0.7666420248725947
Houston Rockets,Phoenix Suns,0.648388845460187
Los Angeles Clippers,New Orleans Pelicans,0.8733617950078395
Sacramento Kings,Orlando Magic,0.6913168471232621
San Antonio Spurs,Minnesota Timberwolves,0.8369294764410161
Atlanta Hawks,Denver Nuggets,0.5852216313225214
Washington Wizards,Boston Celtics,0.7270729860899325
Dallas Mavericks,Milwaukee Bucks,0.9321803727502372
Oklahoma City Thunder,Detroit Pistons,0.8304649038340899
New Orleans Pelicans,Los Angeles Lakers,0.5453273279482815
Miami Heat,Memphis Grizzlies,0.5115430747222895
Portland Trail Blazers,New York Knicks,0.6241229854922828
Brooklyn Nets,Cleveland Cavaliers,0.6992858411929949
Indiana Pacers,Atlanta Hawks,0.762534875859689
Los Angeles Clippers,Phoenix Suns,0.7177391467837931
Golden State Warriors,Minnesota Timberwolves,0.5743955101259981
Sacramento Kings,Utah Jazz,0.7037897670291589
Toronto Raptors,Denver Nuggets,0.751756378049122
Washington Wizards,Boston Celtics,0.8480776699729959
Toronto Raptors,Cleveland Cavaliers,0.6421196092713077
Portland Trail Blazers,Detroit Pistons,0.7724546953654792
Los Angeles Lakers,Sacramento Kings,0.5340731198625064
Memphis Grizzlies,Dallas Mavericks,0.5584100060012815
New York Knicks,New Orleans Pelicans,0.5151158754934707
Oklahoma City Thunder,Milwaukee Bucks,0.9613732344496253
Miami Heat,Phoenix Suns,0.52961017627954
San Antonio Spurs,Utah Jazz,0.9209330820378417
Atlanta Hawks,Philadelphia 76ers,0.8439827232325419
Chicago Bulls,Brooklyn Nets,0.6441381550531937
Charlotte Hornets,Boston Celtics,0.8149285384136116
Dallas Mavericks,New Orleans Pelicans,0.8039010080715462
Miami Heat,Denver Nuggets,0.7041646904206871
Golden State Warriors,Houston Rockets,0.5737282944508191
Indiana Pacers,Los Angeles Clippers,0.5025837459215452
Portland Trail Blazers,Minnesota Timberwolves,0.5719690787469396
Washington Wizards,Orlando Magic,0.7456792165277275
San Antonio Spurs,New York Knicks,0.8511139180960113
Oklahoma City Thunder,Cleveland Cavaliers,0.8849337902903641
Houston Rockets,Sacramento Kings,0.7520869803937287
Atlanta Hawks,Orlando Magic,0.7637669776890664
New York Knicks,Boston Celtics,0.6726847302488042
Brooklyn Nets,Philadelphia 76ers,0.8767925485603718
Portland Trail Blazers,Chicago Bulls,0.5138795781420533
Memphis Grizzlies,Charlotte Hornets,0.6849816538326071
Oklahoma City Thunder,Minnesota Timberwolves,0.6584942334201687
New Orleans Pelicans,Cleveland Cavaliers,0.6103746174058438
Phoenix Suns,Detroit Pistons,0.8498389792456066
San Antonio Spurs,Los Angeles Lakers,0.9299513214693843
Toronto Raptors,Indiana Pacers,0.5255255705521613
Miami Heat,Utah Jazz,0.8497039675695757
Los Angeles Clippers,Washington Wizards,0.6231170249678071
Charlotte Hornets,Brooklyn Nets,0.5475431462209859
Dallas Mavericks,Golden State Warriors,0.5357328488462411
Houston Rockets,Denver Nuggets,0.8052904904912392
Indiana Pacers,Portland Trail Blazers,0.5725406985875595
Los Angeles Clippers,Milwaukee Bucks,0.9160678724289455
Atlanta Hawks,Orlando Magic,0.6738448239014718
Memphis Grizzlies,Philadelphia 76ers,0.8660469514875393
Sacramento Kings,Detroit Pistons,0.6537564729686783
San Antonio Spurs,Denver Nuggets,0.8306190651179146
Miami Heat,Chicago Bulls,0.6930975411528946
Minnesota Timberwolves,Los Angeles Lakers,0.7919117288930402
Golden State Warriors,New Orleans Pelicans,0.7014474234425228
Toronto Raptors,New York Knicks,0.5353555126770209
Oklahoma City Thunder,Phoenix Suns,0.7324048075072697
Washington Wizards,Utah Jazz,0.8500720769674034
Chicago Bulls,Atlanta Hawks,0.5741867441075758
Charlotte Hornets,Cleveland Cavaliers,0.5628459896506285
Indiana Pacers,Los Angeles Lakers,0.8719824344927757
Los Angeles Clippers,Detroit Pistons,0.9167900494095889
Boston Celtics,Philadelphia 76ers,0.53210871457129
Phoenix Suns,Milwaukee Bucks,0.922346257051749
San Antonio Spurs,Portland Trail Blazers,0.6228235096539854
Toronto Raptors,Orlando Magic,0.8740441486598687
Miami Heat,Brooklyn Nets,0.6398997030452318
Memphis Grizzlies,Golden State Warriors,0.5173831643776053
New Orleans Pelicans,Utah Jazz,0.7524635573968804
Dallas Mavericks,New York Knicks,0.5870667863063074
Oklahoma City Thunder,Sacramento Kings,0.8111297712894097
Washington Wizards,Minnesota Timberwolves,0.6118469177308355
Boston Celtics,Orlando Magic,0.5969556975278888
Phoenix Suns,Charlotte Hornets,0.5493717516099392
Atlanta Hawks,Cleveland Cavaliers,0.5188910038712314
Houston Rockets,Denver Nuggets,0.6814965254446884
Dallas Mavericks,Detroit Pistons,0.744024319426206
Los Angeles Clippers,Indiana Pacers,0.6759439337938241
Miami Heat,Utah Jazz,0.9126289934959882
Portland Trail Blazers,Milwaukee Bucks,0.9434544802494537
San Antonio Spurs,Memphis Grizzlies,0.7617394283917679
Toronto Raptors,Brooklyn Nets,0.665778607781036
Chicago Bulls,New York Knicks,0.67442489813006
Oklahoma City Thunder,Golden State Warriors,0.5126260379687744
Houston Rockets,New Orleans Pelicans,0.8333705378799334
Sacramento Kings,Milwaukee Bucks,0.7984950465491532
Minnesota Timberwolves,Boston Celtics,0.6959658177590305
Brooklyn Nets,Cleveland Cavaliers,0.5747112795983308
Los Angeles Clippers,Denver Nuggets,0.7356420496644833
Toronto Raptors,Detroit Pistons,0.7019910272475207
Oklahoma City Thunder,Los Angeles Lakers,0.8589108303905522
Memphis Grizzlies,Chicago Bulls,0.623405966203652
Miami Heat,Washington Wizards,0.7139037252165941
Orlando Magic,Utah Jazz,0.5880832134488211
Charlotte Hornets,Philadelphia 76ers,0.7976776503719121
San Antonio Spurs,Portland Trail Blazers,0.7230346582175015
Charlotte Hornets,Utah Jazz,0.8172643533797984
San Antonio Spurs,Dallas Mavericks,0.6671620915175622
Indiana Pacers,Denver Nuggets,0.6636514587887357
Houston Rockets,Atlanta Hawks,0.7731783467155919
Los Angeles Clippers,Milwaukee Bucks,0.95854602484882
Portland Trail Blazers,New Orleans Pelicans,0.6993662190372566
Phoenix Suns,New York Knicks,0.5614536474887698
Brooklyn Nets,Detroit Pistons,0.7819368540646129
Memphis Grizzlies,Cleveland Cavaliers,0.6785961821707113
Miami Heat,Boston Celtics,0.9113799934192671
Indiana Pacers,Minnesota Timberwolves,0.5567416960917213
Oklahoma City Thunder,New Orleans Pelicans,0.8812791117546163
Orlando Magic,Philadelphia 76ers,0.6924590810037344
Sacramento Kings,Los Angeles Lakers,0.6308140926662745
Toronto Raptors,New York Knicks,0.6950953832153896
Washington Wizards,Phoenix Suns,0.5097766997059097
Chicago Bulls,Toronto Raptors,0.5768594838784357
Charlotte Hornets,Denver Nuggets,0.6478488627465326
Dallas Mavericks,Atlanta Hawks,0.7364302402124313
Golden State Warriors,Sacramento Kings,0.8690132462109403
Houston Rockets,Portland Trail Blazers,0.58708866276307
Memphis Grizzlies,Utah Jazz,0.8844799094166849
San Antonio Spurs,Los Angeles Clippers,0.6632196098491485
Los Angeles Clippers,Atlanta Hawks,0.7321179204638584
Brooklyn Nets,Denver Nuggets,0.6498732057385013
Minnesota Timberwolves,Cleveland Cavaliers,0.5680772053653274
Indiana Pacers,New Orleans Pelicans,0.8249119389405942
Golden State Warriors,Los Angeles Lakers,0.8099198590635455
Miami Heat,Philadelphia 76ers,0.9427708485039438
Charlotte Hornets,Milwaukee Bucks,0.8039094449836678
Oklahoma City Thunder,Portland Trail Blazers,0.6784889500179825
Orlando Magic,Boston Celtics,0.5843079529512353
Phoenix Suns,Dallas Mavericks,0.5404893172442622
Washington Wizards,Chicago Bulls,0.5507351150734082
Chicago Bulls,Los Angeles Lakers,0.8279039616251865
Los Angeles Clippers,Golden State Warriors,0.6600090591726784
Miami Heat,Cleveland Cavaliers,0.8433355106571623
New York Knicks,Washington Wizards,0.5043110876461118
San Antonio Spurs,Oklahoma City Thunder,0.6440217976153642
Atlanta Hawks,Milwaukee Bucks,0.8512040461682014
Brooklyn Nets,Boston Celtics,0.7016671723643624
Dallas Mavericks,Los Angeles Lakers,0.8556315023143644
Minnesota Timberwolves,Denver Nuggets,0.5163835502805355
Indiana Pacers,Detroit Pistons,0.7613841735304749
Memphis Grizzlies,Houston Rockets,0.5150881871948385
San Antonio Spurs,New Orleans Pelicans,0.8445858361113127
Oklahoma City Thunder,Charlotte Hornets,0.8090916213370988
Cleveland Cavaliers,Orlando Magic,0.5761187541567345
Portland Trail Blazers,Philadelphia 76ers,0.940396734287031
Phoenix Suns,Sacramento Kings,0.6964911795044675
Indiana Pacers,Brooklyn Nets,0.5956394626734149
Chicago Bulls,New Orleans Pelicans,0.7689212980502523
Charlotte Hornets,Orlando Magic,0.808267936730111
Golden State Warriors,Minnesota Timberwolves,0.7295181161952508
Los Angeles Clippers,Toronto Raptors,0.738595189042772
Miami Heat,Memphis Grizzlies,0.6439991675129535
Atlanta Hawks,Milwaukee Bucks,0.7744811524294326
New York Knicks,Sacramento Kings,0.576120213126088
Utah Jazz,Philadelphia 76ers,0.6910533936941473
Washington Wizards,Boston Celtics,0.8480776699729959
Cleveland Cavaliers,Detroit Pistons,0.6848726364278309
Oklahoma City Thunder,Dallas Mavericks,0.5531998704267689
Toronto Raptors,Denver Nuggets,0.5929376686126915
Phoenix Suns,Los Angeles Lakers,0.7648668057819019
Portland Trail Blazers,New York Knicks,0.7559719133510667
San Antonio Spurs,Houston Rockets,0.7191919487737938
Brooklyn Nets,Sacramento Kings,0.7552489602012834
Charlotte Hornets,Milwaukee Bucks,0.8817832650285256
Houston Rockets,Washington Wizards,0.7060493376764291
Indiana Pacers,Chicago Bulls,0.6718966734876283
Los Angeles Clippers,Utah Jazz,0.9327254720698377
Miami Heat,Orlando Magic,0.9077978778109704
Atlanta Hawks,Cleveland Cavaliers,0.6386855953727334
Chicago Bulls,Brooklyn Nets,0.6441381550531937
Dallas Mavericks,Washington Wizards,0.6631634998532433
Denver Nuggets,Los Angeles Lakers,0.7078215196631978
Golden State Warriors,Philadelphia 76ers,0.9386505549495571
San Antonio Spurs,Memphis Grizzlies,0.6833028474879209
Phoenix Suns,New Orleans Pelicans,0.6420470283342252
Orlando Magic,Detroit Pistons,0.5315155191389359
Portland Trail Blazers,Toronto Raptors,0.6709198026119954
Minnesota Timberwolves,Utah Jazz,0.7172029669745732
Boston Celtics,Sacramento Kings,0.5179729224973647
Cleveland Cavaliers,Milwaukee Bucks,0.8201815886227303
Houston Rockets,Charlotte Hornets,0.7406260934165534
Indiana Pacers,Miami Heat,0.5415453221146491
Los Angeles Clippers,New York Knicks,0.8110814560957084
Oklahoma City Thunder,Phoenix Suns,0.7324048075072697
San Antonio Spurs,New Orleans Pelicans,0.9017947817137076
Chicago Bulls,Denver Nuggets,0.7334541425961346
Minnesota Timberwolves,Sacramento Kings,0.7835009064392902
Dallas Mavericks,Boston Celtics,0.7939529974954618
Charlotte Hornets,Cleveland Cavaliers,0.6974141694060277
Golden State Warriors,Toronto Raptors,0.6640987832614828
Memphis Grizzlies,Los Angeles Lakers,0.7750233358986441
Indiana Pacers,Milwaukee Bucks,0.8855683100577207
Houston Rockets,New Orleans Pelicans,0.7033683331472429
New York Knicks,Detroit Pistons,0.771918033547398
Oklahoma City Thunder,Washington Wizards,0.7809423677857376
Brooklyn Nets,Orlando Magic,0.7213415883354668
Phoenix Suns,Philadelphia 76ers,0.9182459770327545
Atlanta Hawks,Utah Jazz,0.6752920189643032
Chicago Bulls,Boston Celtics,0.8681821148693206
Memphis Grizzlies,Denver Nuggets,0.6315506954297097
