Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%.1,TOV%.1,DRB%,FT/FGA.1,Arena,Attend.,Attend./G
11.0,Oklahoma City Thunder,25.4,45.0,37.0,47,35,2.18,0.28,2.47,107.8,105.5,95.7,0.284,0.262,0.532,0.49200000000000005,13.1,28.9,0.214,0.489,12.4,75.6,0.213,Chesapeake Energy Arena,746323,18203
12.0,Toronto Raptors,26.1,49.0,33.0,49,33,3.07,-0.62,2.45,111.0,107.7,92.8,0.295,0.302,0.5529999999999999,0.508,12.0,25.6,0.23199999999999998,0.506,13.4,73.3,0.20800000000000002,Air Canada Centre,809824,19754
13.0,New Orleans Pelicans,25.3,45.0,37.0,43,39,0.79,0.34,1.13,108.2,107.3,91.4,0.263,0.233,0.537,0.501,12.5,27.1,0.198,0.496,11.7,75.1,0.195,Smoothie King Center,683757,16759
14.0,Utah Jazz,23.4,38.0,44.0,42,40,0.22,0.49,0.71,105.1,104.9,90.4,0.297,0.27399999999999997,0.531,0.494,14.6,29.1,0.214,0.491,12.8,76.3,0.19899999999999998,EnergySolutions Arena,772059,18831
15.0,Washington Wizards,28.6,46.0,36.0,43,39,0.72,-0.55,0.17,103.7,103.0,93.7,0.259,0.203,0.534,0.499,14.0,24.9,0.192,0.48100000000000004,12.9,77.3,0.21,Verizon Center,747796,18469
16.0,Milwaukee Bucks,24.6,41.0,41.0,42,40,0.43,-0.52,-0.09,102.7,102.2,94.1,0.258,0.223,0.536,0.499,15.5,25.4,0.195,0.48700000000000004,15.9,73.3,0.221,BMO Harris Bradley Center,593910,15086
17.0,Indiana Pacers,28.3,38.0,44.0,42,40,0.28,-0.51,-0.23,103.5,103.2,93.2,0.266,0.255,0.523,0.484,13.1,24.0,0.201,0.478,12.0,77.9,0.217,Bankers Life Fieldhouse,691434,16864
18.0,Phoenix Suns,25.7,39.0,43.0,38,44,-0.9,0.52,-0.38,105.3,106.2,96.3,0.251,0.29100000000000004,0.537,0.501,13.7,24.5,0.191,0.49700000000000005,14.0,73.5,0.221,US Airways Center,693862,16923
19.0,Boston Celtics,25.0,40.0,42.0,41,41,0.16,-0.56,-0.4,104.7,104.5,95.8,0.233,0.28,0.523,0.489,12.5,24.7,0.17600000000000002,0.494,13.7,75.0,0.20800000000000002,TD Garden,721350,17642
20.0,Detroit Pistons,25.9,32.0,50.0,38,44,-1.0,-0.39,-1.39,105.3,106.4,92.8,0.261,0.29,0.515,0.48200000000000004,12.3,27.7,0.184,0.502,13.2,75.0,0.192,The Palace of Auburn Hills,625917,15266
21.0,Miami Heat,28.5,37.0,45.0,33,49,-2.6,-0.32,-2.92,103.9,106.7,90.9,0.306,0.262,0.54,0.5,14.5,23.2,0.22699999999999998,0.505,14.2,73.4,0.213,AmericanAirlines Arena,808223,19713
22.0,Denver Nuggets,26.4,30.0,52.0,31,51,-3.55,0.48,-3.07,104.5,108.2,96.1,0.278,0.284,0.518,0.479,12.7,26.6,0.204,0.504,13.0,74.7,0.239,Pepsi Center,602707,14700
23.0,Sacramento Kings,26.0,29.0,53.0,31,51,-3.71,0.64,-3.07,105.3,109.2,95.4,0.363,0.204,0.542,0.49,14.8,26.5,0.276,0.507,11.8,75.2,0.2,Sleep Train Arena,680049,16587
24.0,Brooklyn Nets,28.6,38.0,44.0,33,49,-2.88,-0.25,-3.13,104.4,107.4,92.7,0.267,0.24,0.529,0.491,13.0,23.9,0.2,0.506,12.9,73.7,0.185,Barclays Center,698529,17085
25.0,Charlotte Hornets,26.0,33.0,49.0,32,50,-3.17,-0.27,-3.44,100.1,103.5,93.0,0.26899999999999996,0.226,0.498,0.456,11.2,22.1,0.20199999999999999,0.48700000000000004,12.0,79.3,0.188,Time Warner Cable Arena,704886,17192
26.0,Orlando Magic,24.3,25.0,57.0,25,57,-5.72,-0.15,-5.87,101.6,107.7,93.8,0.23,0.235,0.524,0.494,14.0,23.1,0.168,0.514,13.6,76.0,0.21,Amway Center,688194,16785
27.0,Los Angeles Lakers,27.0,21.0,61.0,23,59,-6.84,0.67,-6.17,103.4,110.6,94.0,0.276,0.22,0.513,0.473,12.1,25.4,0.204,0.518,12.1,76.3,0.231,STAPLES Center,768244,18738
28.0,Minnesota Timberwolves,24.4,16.0,66.0,19,63,-8.79,0.79,-8.0,102.9,112.2,94.4,0.309,0.179,0.517,0.46799999999999997,13.7,26.6,0.24,0.537,13.9,71.6,0.187,Target Center,595652,14416
29.0,Philadelphia 76ers,23.2,18.0,64.0,18,64,-8.98,-0.07,-9.04,95.5,104.8,95.7,0.28800000000000003,0.319,0.494,0.45899999999999996,16.0,25.5,0.195,0.49700000000000005,15.2,73.0,0.225,Wells Fargo Center,571572,13941
30.0,New York Knicks,26.9,17.0,65.0,17,65,-9.32,-0.18,-9.5,99.9,110.0,91.2,0.23399999999999999,0.24,0.508,0.47,14.0,24.5,0.18,0.512,13.3,73.1,0.23399999999999999,Madison Square Garden (IV),812292,19812
