,0.5/mis_W,0.5/mis_L,0.6/mis_W,0.6/mis_L,0.7/mis_W,0.7/mis_L,0.8/mis_W,0.8/mis_L,0.9/mis_W,0.9/mis_L,pred_W,pred_L,true_W,true_L
Memphis Grizzlies,21,20,14,11,7,3,3,0,0,0,62,31,61,32
Utah Jazz,3,32,0,28,0,24,0,17,0,4,9,73,38,44
Golden State Warriors,12,17,11,3,6,0,3,0,0,0,78,25,83,20
Boston Celtics,3,29,1,26,1,20,0,13,0,3,14,72,40,46
Chicago Bulls,28,15,22,11,11,2,6,0,1,0,69,25,56,38
New York Knicks,27,4,18,2,12,2,6,0,0,0,40,42,17,65
Toronto Raptors,24,10,18,5,10,1,3,0,1,0,63,23,49,37
Minnesota Timberwolves,31,8,23,2,16,1,7,0,0,0,39,43,16,66
Milwaukee Bucks,0,41,0,35,0,33,0,26,0,10,2,86,43,45
Detroit Pistons,13,28,5,23,2,15,0,6,0,2,17,65,32,50
San Antonio Spurs,31,0,28,0,15,0,9,0,6,0,89,0,58,31
Indiana Pacers,32,4,26,1,17,0,8,0,2,0,66,16,38,44
Brooklyn Nets,26,18,15,11,9,3,7,1,0,0,48,40,40,48
Los Angeles Clippers,21,13,18,4,11,0,4,0,2,0,71,25,63,33
Charlotte Hornets,21,12,12,7,8,0,4,0,0,0,42,40,33,49
Washington Wizards,20,18,13,9,4,3,2,0,0,0,54,38,52,40
Oklahoma City Thunder,34,2,22,1,15,0,8,0,2,0,77,5,45,37
Atlanta Hawks,12,43,7,29,3,13,1,1,0,0,37,61,68,30
Denver Nuggets,13,16,11,11,6,4,1,0,0,0,27,55,30,52
Miami Heat,37,2,29,1,20,0,9,0,8,0,72,10,37,45
Portland Trail Blazers,21,11,13,5,8,1,5,0,2,0,62,25,52,35
Cleveland Cavaliers,7,47,4,37,2,21,1,4,0,1,27,75,67,35
Sacramento Kings,11,23,6,19,2,13,0,6,0,1,17,65,29,53
Houston Rockets,18,11,11,5,8,0,4,0,0,0,72,27,65,34
Dallas Mavericks,18,10,10,4,4,1,3,0,0,0,59,28,51,36
Los Angeles Lakers,3,14,2,12,0,10,0,3,0,1,10,72,21,61
New Orleans Pelicans,8,31,4,23,2,15,0,7,0,1,22,64,45,41
Orlando Magic,6,18,2,15,1,11,0,9,0,1,13,69,25,57
Philadelphia 76ers,2,18,0,16,0,12,0,7,0,1,2,80,18,64
Phoenix Suns,19,7,15,4,8,0,6,0,1,0,51,31,39,43
