win,lose,probability
Indiana Pacers,Orlando Magic,0.9140922298170573
Los Angeles Lakers,Los Angeles Clippers,0.5468767255468118
Miami Heat,Chicago Bulls,0.8919876849556935
Brooklyn Nets,Cleveland Cavaliers,0.7295969462900809
Dallas Mavericks,Atlanta Hawks,0.6937593506068623
Detroit Pistons,Washington Wizards,0.5390783641896152
Golden State Warriors,Los Angeles Lakers,0.6820791478845564
Houston Rockets,Charlotte Hornets,0.864429978458441
Minnesota Timberwolves,Orlando Magic,0.7766322807405538
Indiana Pacers,New Orleans Pelicans,0.8214269259963058
New York Knicks,Milwaukee Bucks,0.8378802893945743
Miami Heat,Philadelphia 76ers,0.8133955785988266
Portland Trail Blazers,Phoenix Suns,0.5062662351035195
Denver Nuggets,Sacramento Kings,0.8105111783591232
San Antonio Spurs,Memphis Grizzlies,0.711324226432609
Toronto Raptors,Boston Celtics,0.5289153092879041
Oklahoma City Thunder,Utah Jazz,0.5376944892294316
Chicago Bulls,New York Knicks,0.5873149361495098
Los Angeles Clippers,Golden State Warriors,0.7282489851157279
Atlanta Hawks,Toronto Raptors,0.6007601704679422
Boston Celtics,Milwaukee Bucks,0.6659079282580217
Miami Heat,Brooklyn Nets,0.6475240651153825
Charlotte Hornets,Cleveland Cavaliers,0.536401688557531
Denver Nuggets,Portland Trail Blazers,0.9004744525352704
Houston Rockets,Dallas Mavericks,0.6305506910101475
San Antonio Spurs,Los Angeles Lakers,0.5597500968688225
Memphis Grizzlies,Detroit Pistons,0.8988156406252229
Oklahoma City Thunder,Minnesota Timberwolves,0.7223340876069111
New Orleans Pelicans,Orlando Magic,0.5619722192206591
Utah Jazz,Phoenix Suns,0.6992383157088369
Los Angeles Clippers,Sacramento Kings,0.7702638241250135
Washington Wizards,Philadelphia 76ers,0.5769876111202399
Memphis Grizzlies,Dallas Mavericks,0.530567953614126
Golden State Warriors,Sacramento Kings,0.8578542636296883
Indiana Pacers,Cleveland Cavaliers,0.8832805855728705
Toronto Raptors,Milwaukee Bucks,0.5049117147957851
New Orleans Pelicans,Charlotte Hornets,0.6381637229543322
Chicago Bulls,Philadelphia 76ers,0.5620283194839698
San Antonio Spurs,Portland Trail Blazers,0.7885268376654899
Utah Jazz,Houston Rockets,0.5942399241789875
Boston Celtics,Detroit Pistons,0.6502528627121098
Los Angeles Lakers,Atlanta Hawks,0.7066763768982033
Miami Heat,Washington Wizards,0.9465349348484761
New York Knicks,Minnesota Timberwolves,0.8537175867229778
Oklahoma City Thunder,Phoenix Suns,0.9305609310010792
Brooklyn Nets,Orlando Magic,0.792217977105911
Minnesota Timberwolves,Cleveland Cavaliers,0.5467893812340394
Los Angeles Clippers,Houston Rockets,0.7520438615692566
Memphis Grizzlies,Boston Celtics,0.7591821519259934
Golden State Warriors,Philadelphia 76ers,0.6188309978515527
Brooklyn Nets,Utah Jazz,0.6670301444527386
Dallas Mavericks,Los Angeles Lakers,0.6339684881567375
Denver Nuggets,San Antonio Spurs,0.5951993981215945
Indiana Pacers,Detroit Pistons,0.8010358048817691
New Orleans Pelicans,Phoenix Suns,0.6139782774042127
New York Knicks,Charlotte Hornets,0.912856259192088
Houston Rockets,Portland Trail Blazers,0.6246197573738981
Atlanta Hawks,Sacramento Kings,0.626812010528939
Miami Heat,Toronto Raptors,0.7489136369331681
Boston Celtics,Utah Jazz,0.542332304405628
Toronto Raptors,Charlotte Hornets,0.6692829768135594
Indiana Pacers,Chicago Bulls,0.6913485573439488
Memphis Grizzlies,New Orleans Pelicans,0.8973725861775707
Milwaukee Bucks,Cleveland Cavaliers,0.6966004033659111
Golden State Warriors,Minnesota Timberwolves,0.6335018536645882
Oklahoma City Thunder,Dallas Mavericks,0.7990990644058826
Los Angeles Clippers,Orlando Magic,0.851344686852994
Philadelphia 76ers,Washington Wizards,0.6255503236717344
San Antonio Spurs,Phoenix Suns,0.9450128049931312
Denver Nuggets,Atlanta Hawks,0.8183110070680911
Houston Rockets,Los Angeles Lakers,0.6174350067025068
Miami Heat,Los Angeles Clippers,0.8349528519633365
New York Knicks,Charlotte Hornets,0.8050055588050073
Chicago Bulls,Utah Jazz,0.6855312073742043
Oklahoma City Thunder,Detroit Pistons,0.7772878252006301
Indiana Pacers,Toronto Raptors,0.7636979207677789
Dallas Mavericks,Minnesota Timberwolves,0.5801704923706597
Los Angeles Lakers,New Orleans Pelicans,0.6913639738363662
Boston Celtics,Orlando Magic,0.7806289292239483
Philadelphia 76ers,Cleveland Cavaliers,0.7247287638854313
Denver Nuggets,Phoenix Suns,0.8398884487989455
Portland Trail Blazers,Sacramento Kings,0.6385646903274902
San Antonio Spurs,Golden State Warriors,0.8030768868971924
Brooklyn Nets,Washington Wizards,0.6091506263593662
Atlanta Hawks,Orlando Magic,0.8320504372992611
Indiana Pacers,Brooklyn Nets,0.5429405454051672
Philadelphia 76ers,Cleveland Cavaliers,0.5593232527858103
Houston Rockets,Los Angeles Clippers,0.5139744189388589
Memphis Grizzlies,Golden State Warriors,0.7165111410246296
Miami Heat,Boston Celtics,0.8906108279048843
Dallas Mavericks,Milwaukee Bucks,0.5981283385990914
Sacramento Kings,Portland Trail Blazers,0.5446301426579597
Toronto Raptors,Utah Jazz,0.5523400955735069
Los Angeles Lakers,Minnesota Timberwolves,0.8021475255829458
New York Knicks,San Antonio Spurs,0.5309958499692184
Oklahoma City Thunder,Washington Wizards,0.8961016251893498
Phoenix Suns,New Orleans Pelicans,0.5205264562510595
Boston Celtics,Orlando Magic,0.8385979526875216
Atlanta Hawks,Charlotte Hornets,0.7048288368351427
Chicago Bulls,Cleveland Cavaliers,0.8717609795808524
Houston Rockets,Toronto Raptors,0.7135329452919156
Indiana Pacers,Memphis Grizzlies,0.5168504174483892
Los Angeles Clippers,Minnesota Timberwolves,0.8746371502334247
San Antonio Spurs,Philadelphia 76ers,0.7627232518083678
Portland Trail Blazers,Detroit Pistons,0.651110282211852
Denver Nuggets,Utah Jazz,0.5598787918523255
Dallas Mavericks,Washington Wizards,0.7988547975810025
Golden State Warriors,Detroit Pistons,0.864404498612713
Los Angeles Lakers,New Orleans Pelicans,0.8434434941639514
Miami Heat,Milwaukee Bucks,0.9376921698721569
New York Knicks,Atlanta Hawks,0.5754935399757279
Boston Celtics,Charlotte Hornets,0.8015824292351739
Denver Nuggets,Los Angeles Lakers,0.7749493145435067
Los Angeles Clippers,Oklahoma City Thunder,0.6403669312197314
Memphis Grizzlies,Toronto Raptors,0.8218661307414962
Minnesota Timberwolves,Cleveland Cavaliers,0.712049827431511
Milwaukee Bucks,Orlando Magic,0.6581354727654136
Houston Rockets,Philadelphia 76ers,0.5892348815360511
Portland Trail Blazers,Phoenix Suns,0.6911436528941624
Brooklyn Nets,Sacramento Kings,0.6906076644864425
San Antonio Spurs,Washington Wizards,0.9170862653875769
Utah Jazz,New Orleans Pelicans,0.8174073964312094
Golden State Warriors,Oklahoma City Thunder,0.546528044502981
New York Knicks,Houston Rockets,0.7172796099854464
Atlanta Hawks,Philadelphia 76ers,0.6710511467301743
Boston Celtics,Portland Trail Blazers,0.7287604544270422
Cleveland Cavaliers,Charlotte Hornets,0.5980271013648305
Denver Nuggets,Minnesota Timberwolves,0.8834403518185625
Indiana Pacers,Milwaukee Bucks,0.8032226460204022
Memphis Grizzlies,Los Angeles Lakers,0.5152158256503677
Miami Heat,Dallas Mavericks,0.8908848902794345
Brooklyn Nets,Phoenix Suns,0.7324375207871592
Sacramento Kings,Detroit Pistons,0.5749271831387461
Toronto Raptors,Chicago Bulls,0.5324547722631984
San Antonio Spurs,Utah Jazz,0.6047612281778778
Miami Heat,Charlotte Hornets,0.9084123764628608
Indiana Pacers,Chicago Bulls,0.5219010866139968
Golden State Warriors,Utah Jazz,0.7131580142767265
Denver Nuggets,Houston Rockets,0.5467682281935988
Los Angeles Clippers,Brooklyn Nets,0.7572616819345626
Oklahoma City Thunder,Milwaukee Bucks,0.7369679194313035
Boston Celtics,Minnesota Timberwolves,0.5808562886788597
Philadelphia 76ers,New Orleans Pelicans,0.5170594602823337
New York Knicks,Atlanta Hawks,0.7761877306084043
Dallas Mavericks,Orlando Magic,0.7801462796262858
Washington Wizards,Cleveland Cavaliers,0.7020164240530703
Los Angeles Lakers,Detroit Pistons,0.8455143067313763
Memphis Grizzlies,Sacramento Kings,0.8113403127720424
Toronto Raptors,Portland Trail Blazers,0.7366710285317682
Brooklyn Nets,Portland Trail Blazers,0.8195631266984501
Chicago Bulls,Charlotte Hornets,0.8814034093998077
Dallas Mavericks,Philadelphia 76ers,0.7837269972052148
Los Angeles Clippers,Memphis Grizzlies,0.6182067742420227
Oklahoma City Thunder,Denver Nuggets,0.6589169758593711
Utah Jazz,Golden State Warriors,0.5640794415614231
New York Knicks,Detroit Pistons,0.7215662153712631
Houston Rockets,Boston Celtics,0.6298943959207416
Miami Heat,Atlanta Hawks,0.9098972659241613
Sacramento Kings,Phoenix Suns,0.6185813623598573
Washington Wizards,Minnesota Timberwolves,0.5893136019472691
Atlanta Hawks,Detroit Pistons,0.7434017649561637
Brooklyn Nets,Charlotte Hornets,0.7603860025647818
Washington Wizards,Cleveland Cavaliers,0.5366300184775137
Dallas Mavericks,Houston Rockets,0.6236745777860818
Golden State Warriors,Memphis Grizzlies,0.5228937137820571
Milwaukee Bucks,Portland Trail Blazers,0.6253825414093219
Los Angeles Clippers,Minnesota Timberwolves,0.6904322942883323
Utah Jazz,New Orleans Pelicans,0.6590526745674512
New York Knicks,Indiana Pacers,0.5635473246807279
Miami Heat,Orlando Magic,0.9225816738348268
Philadelphia 76ers,Toronto Raptors,0.529274443024618
Phoenix Suns,Sacramento Kings,0.510782439292884
San Antonio Spurs,Boston Celtics,0.8357056786656513
Denver Nuggets,Chicago Bulls,0.7864691135151696
Oklahoma City Thunder,Los Angeles Clippers,0.7113614025016815
Indiana Pacers,Boston Celtics,0.6675742431012144
Charlotte Hornets,Phoenix Suns,0.5328764897730357
Dallas Mavericks,Utah Jazz,0.6674575120666261
Atlanta Hawks,Detroit Pistons,0.5998320414826857
