Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1.0,Chicago Bulls,82,243.0,35.0,81.2,0.43,6.6,18.7,0.35100000000000003,28.4,62.5,0.45399999999999996,15.3,20.3,0.753,10.7,30.6,41.3,19.6,7.6,6.0,14.4,20.9,91.8
2.0,Indiana Pacers,82,241.2,34.8,82.7,0.42,6.6,19.0,0.345,28.2,63.7,0.44299999999999995,16.3,21.6,0.755,10.4,30.7,41.2,18.6,7.2,4.6,13.7,21.9,92.3
3.0,Memphis Grizzlies,82,241.5,35.7,79.3,0.45,7.5,21.1,0.355,28.2,58.2,0.484,15.8,20.6,0.7659999999999999,9.9,29.3,39.2,19.9,7.2,5.0,14.2,18.9,94.6
4.0,Charlotte Hornets,82,242.7,36.9,83.4,0.442,8.1,22.0,0.369,28.7,61.4,0.46799999999999997,15.3,20.1,0.759,9.6,33.7,43.3,21.0,6.3,5.1,13.3,20.9,97.1
5.0,Miami Heat,82,242.4,36.1,79.0,0.457,8.5,23.4,0.36200000000000004,27.6,55.6,0.49700000000000005,16.8,22.3,0.75,10.8,29.5,40.3,21.4,8.1,3.1,16.7,20.4,97.4
6.0,San Antonio Spurs,82,240.9,37.8,85.1,0.444,6.5,18.3,0.353,31.3,66.8,0.469,15.7,20.6,0.76,10.5,31.7,42.2,20.4,7.7,4.6,13.9,19.3,97.6
7.0,Toronto Raptors,82,243.4,36.1,80.2,0.45,6.9,19.2,0.36,29.1,60.9,0.478,19.0,25.3,0.752,10.4,30.5,41.0,21.0,7.3,4.3,14.9,22.1,98.0
8.0,New York Knicks,82,242.1,35.8,78.1,0.45799999999999996,8.7,23.4,0.371,27.1,54.6,0.496,19.1,25.0,0.765,10.3,31.7,42.0,19.7,6.3,3.4,14.5,19.6,99.4
9.0,Washington Wizards,82,244.6,37.0,80.9,0.45799999999999996,7.5,21.5,0.34700000000000003,29.6,59.4,0.498,17.8,23.3,0.765,10.1,32.1,42.2,22.2,7.7,3.9,16.0,19.5,99.4
10.0,Golden State Warriors,82,241.8,36.8,84.4,0.436,6.9,20.2,0.344,29.9,64.2,0.465,18.9,24.7,0.765,10.7,32.6,43.3,20.5,7.9,4.2,15.0,19.3,99.5
