Visitor/Neutral,Home/Neutral
Orlando Magic,Indiana Pacers
Los Angeles Clippers,Los Angeles Lakers
Chicago Bulls,Miami Heat
Brooklyn Nets,Cleveland Cavaliers
Atlanta Hawks,Dallas Mavericks
Washington Wizards,Detroit Pistons
Los Angeles Lakers,Golden State Warriors
Charlotte Hornets,Houston Rockets
Orlando Magic,Minnesota Timberwolves
Indiana Pacers,New Orleans Pelicans
Milwaukee Bucks,New York Knicks
Miami Heat,Philadelphia 76ers
Portland Trail Blazers,Phoenix Suns
Denver Nuggets,Sacramento Kings
Memphis Grizzlies,San Antonio Spurs
Boston Celtics,Toronto Raptors
Oklahoma City Thunder,Utah Jazz
New York Knicks,Chicago Bulls
Golden State Warriors,Los Angeles Clippers
Toronto Raptors,Atlanta Hawks
Milwaukee Bucks,Boston Celtics
Miami Heat,Brooklyn Nets
Cleveland Cavaliers,Charlotte Hornets
Portland Trail Blazers,Denver Nuggets
Dallas Mavericks,Houston Rockets
San Antonio Spurs,Los Angeles Lakers
Detroit Pistons,Memphis Grizzlies
Oklahoma City Thunder,Minnesota Timberwolves
New Orleans Pelicans,Orlando Magic
Utah Jazz,Phoenix Suns
Los Angeles Clippers,Sacramento Kings
Philadelphia 76ers,Washington Wizards
Memphis Grizzlies,Dallas Mavericks
Sacramento Kings,Golden State Warriors
Cleveland Cavaliers,Indiana Pacers
Toronto Raptors,Milwaukee Bucks
Charlotte Hornets,New Orleans Pelicans
Chicago Bulls,Philadelphia 76ers
San Antonio Spurs,Portland Trail Blazers
Houston Rockets,Utah Jazz
Boston Celtics,Detroit Pistons
Atlanta Hawks,Los Angeles Lakers
Washington Wizards,Miami Heat
Minnesota Timberwolves,New York Knicks
Phoenix Suns,Oklahoma City Thunder
Brooklyn Nets,Orlando Magic
Minnesota Timberwolves,Cleveland Cavaliers
Houston Rockets,Los Angeles Clippers
Boston Celtics,Memphis Grizzlies
Golden State Warriors,Philadelphia 76ers
Utah Jazz,Brooklyn Nets
Los Angeles Lakers,Dallas Mavericks
San Antonio Spurs,Denver Nuggets
Indiana Pacers,Detroit Pistons
Phoenix Suns,New Orleans Pelicans
Charlotte Hornets,New York Knicks
Houston Rockets,Portland Trail Blazers
Atlanta Hawks,Sacramento Kings
Miami Heat,Toronto Raptors
Utah Jazz,Boston Celtics
Toronto Raptors,Charlotte Hornets
Chicago Bulls,Indiana Pacers
New Orleans Pelicans,Memphis Grizzlies
Cleveland Cavaliers,Milwaukee Bucks
Golden State Warriors,Minnesota Timberwolves
Dallas Mavericks,Oklahoma City Thunder
Los Angeles Clippers,Orlando Magic
Washington Wizards,Philadelphia 76ers
Phoenix Suns,San Antonio Spurs
Atlanta Hawks,Denver Nuggets
Los Angeles Lakers,Houston Rockets
Los Angeles Clippers,Miami Heat
New York Knicks,Charlotte Hornets
Utah Jazz,Chicago Bulls
Oklahoma City Thunder,Detroit Pistons
Toronto Raptors,Indiana Pacers
Dallas Mavericks,Minnesota Timberwolves
Los Angeles Lakers,New Orleans Pelicans
