Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1.0,Los Angeles Clippers,82,240.9,39.1,82.5,0.474,8.5,24.0,0.35200000000000004,30.7,58.5,0.525,21.2,29.1,0.73,10.5,32.5,43.0,24.6,8.6,4.8,13.9,21.5,107.9
2.0,Houston Rockets,82,241.8,38.0,80.5,0.47200000000000003,9.5,26.6,0.358,28.5,54.0,0.529,22.1,31.1,0.7120000000000001,11.2,34.1,45.3,21.4,7.6,5.6,16.1,20.4,107.7
3.0,Minnesota Timberwolves,82,242.1,38.9,87.5,0.444,7.3,21.4,0.341,31.6,66.1,0.478,21.8,28.1,0.778,12.5,32.2,44.7,23.9,8.8,3.6,13.9,18.3,106.9
4.0,Portland Trail Blazers,82,242.1,39.1,87.0,0.45,9.4,25.3,0.3720000000000001,29.7,61.7,0.48100000000000004,19.1,23.5,0.815,12.5,34.0,46.4,23.2,5.5,4.7,13.7,19.2,106.7
5.0,Oklahoma City Thunder,82,241.5,39.0,82.7,0.47100000000000003,8.1,22.4,0.361,30.9,60.3,0.512,20.2,25.0,0.8059999999999999,10.8,33.9,44.7,21.9,8.3,6.1,15.3,22.7,106.2
6.0,San Antonio Spurs,82,240.9,40.6,83.5,0.486,8.5,21.4,0.397,32.0,62.0,0.517,15.7,20.0,0.785,9.3,34.0,43.3,25.2,7.4,5.1,14.4,18.2,105.4
7.0,Phoenix Suns,82,240.9,38.7,83.5,0.46299999999999997,9.3,25.1,0.3720000000000001,29.4,58.4,0.503,18.5,24.4,0.758,11.3,31.7,43.0,19.1,8.4,4.6,15.3,21.9,105.2
8.0,Dallas Mavericks,82,241.8,39.6,83.6,0.474,8.8,22.9,0.384,30.8,60.7,0.508,16.8,21.1,0.795,10.2,30.7,40.9,23.6,8.6,4.3,13.5,20.0,104.8
9.0,Denver Nuggets,82,240.9,38.4,85.9,0.447,8.6,23.9,0.358,29.8,62.0,0.48100000000000004,19.1,26.3,0.726,12.3,33.1,45.4,22.4,7.5,5.6,15.9,23.0,104.4
10.0,Golden State Warriors,82,241.8,39.5,85.4,0.462,9.4,24.8,0.38,30.0,60.6,0.496,15.9,21.1,0.753,10.9,34.4,45.3,23.3,7.8,5.0,15.2,21.8,104.3
11.0,Los Angeles Lakers,82,240.3,38.3,85.1,0.45,9.4,24.8,0.381,28.8,60.3,0.478,17.0,22.4,0.757,9.1,32.0,41.0,24.5,7.5,5.4,15.1,19.8,103.0
12.0,Miami Heat,82,242.4,38.3,76.5,0.501,8.1,22.3,0.364,30.2,54.2,0.5579999999999999,17.5,23.0,0.76,7.6,29.2,36.9,22.5,8.9,4.5,14.8,19.5,102.2
13.0,Toronto Raptors,82,243.4,36.5,81.9,0.445,8.7,23.4,0.3720000000000001,27.8,58.5,0.475,19.6,25.1,0.782,11.4,31.1,42.5,21.2,7.0,4.2,14.1,23.0,101.3
14.0,Detroit Pistons,82,241.2,38.8,86.9,0.447,6.2,19.3,0.321,32.6,67.6,0.483,17.3,25.7,0.67,14.6,30.8,45.4,20.9,8.4,4.8,14.5,20.3,101.0
15.0,Atlanta Hawks,82,241.8,37.3,81.6,0.45799999999999996,9.4,25.8,0.363,28.0,55.8,0.502,17.0,21.7,0.7809999999999999,8.7,31.3,40.0,24.9,8.3,4.0,15.3,19.2,101.0
16.0,Washington Wizards,82,244.6,38.7,84.4,0.45899999999999996,7.9,20.8,0.38,30.9,63.6,0.485,15.3,20.9,0.731,10.8,31.4,42.2,23.3,8.1,4.6,14.7,20.4,100.7
17.0,Sacramento Kings,82,241.8,36.9,82.5,0.447,6.0,18.0,0.33299999999999996,30.9,64.5,0.479,20.7,27.3,0.759,12.1,32.4,44.5,18.9,7.2,3.9,15.2,22.5,100.5
18.0,New Orleans Pelicans,82,242.1,37.8,82.5,0.45899999999999996,5.9,15.9,0.373,31.9,66.6,0.479,18.2,23.6,0.769,11.4,30.3,41.7,21.3,7.9,6.4,13.8,22.6,99.7
19.0,Philadelphia 76ers,82,242.1,37.9,87.2,0.435,7.0,22.5,0.312,30.9,64.7,0.47700000000000004,16.6,23.4,0.71,11.6,31.2,42.7,21.8,9.3,4.0,16.9,22.5,99.5
20.0,New York Knicks,82,242.1,36.9,82.2,0.449,9.3,24.9,0.3720000000000001,27.7,57.3,0.48200000000000004,15.5,20.4,0.7609999999999999,10.6,29.7,40.3,20.0,7.7,4.5,13.0,22.1,98.6
21.0,Brooklyn Nets,82,242.4,35.7,77.9,0.45899999999999996,8.6,23.4,0.369,27.1,54.5,0.4970000000000001,18.4,24.4,0.753,8.8,29.4,38.1,20.9,8.6,3.8,14.5,21.7,98.5
22.0,Cleveland Cavaliers,82,243.0,37.0,84.8,0.4370000000000001,7.1,20.0,0.35600000000000004,29.9,64.8,0.461,17.0,22.7,0.7509999999999999,12.1,32.1,44.1,21.2,7.1,3.7,14.2,20.0,98.2
23.0,Charlotte Hornets,82,242.7,36.3,82.1,0.442,6.3,17.9,0.35100000000000003,30.0,64.1,0.46799999999999997,18.0,24.4,0.737,9.5,33.2,42.7,21.7,6.1,5.1,12.3,18.2,96.9
24.0,Indiana Pacers,82,241.2,36.0,80.2,0.449,6.7,18.8,0.35700000000000004,29.3,61.4,0.47700000000000004,18.1,23.3,0.779,10.2,34.5,44.7,20.1,6.7,5.4,15.1,20.4,96.7
25.0,Orlando Magic,82,243.4,36.9,82.7,0.445,6.9,19.5,0.353,30.0,63.3,0.474,15.9,20.9,0.763,9.7,32.4,42.0,21.0,7.7,4.3,14.9,20.5,96.5
26.0,Boston Celtics,82,240.6,36.5,83.9,0.435,7.0,21.1,0.33299999999999996,29.5,62.9,0.47,16.2,20.8,0.777,12.0,30.5,42.5,21.0,7.1,4.2,15.4,21.3,96.2
27.0,Memphis Grizzlies,82,241.5,38.1,82.0,0.46399999999999997,4.9,14.0,0.353,33.1,68.0,0.48700000000000004,15.1,20.3,0.741,11.6,30.8,42.4,21.9,7.7,4.6,13.7,19.1,96.1
28.0,Milwaukee Bucks,82,242.4,36.0,82.2,0.43799999999999994,6.7,18.9,0.353,29.3,63.2,0.46399999999999997,16.8,22.5,0.747,11.8,29.3,41.1,21.5,6.6,4.9,15.1,20.9,95.5
29.0,Utah Jazz,82,241.2,36.0,81.1,0.444,6.6,19.2,0.344,29.4,61.9,0.474,16.4,22.0,0.747,11.0,30.2,41.2,20.3,7.0,4.5,14.6,20.7,95.0
30.0,Chicago Bulls,82,243.0,34.7,80.2,0.4320000000000001,6.2,17.8,0.348,28.5,62.4,0.456,18.1,23.3,0.779,11.4,32.7,44.1,22.7,7.2,5.2,14.9,19.1,93.7
