,0.5/mis_W,0.5/mis_L,0.6/mis_W,0.6/mis_L,0.7/mis_W,0.7/mis_L,0.8/mis_W,0.8/mis_L,0.9/mis_W,0.9/mis_L,pred_W,pred_L,true_W,true_L
Memphis Grizzlies,26,7,20,4,15,0,7,0,0,0,72,17,53,36
Utah Jazz,28,5,18,3,9,1,6,0,0,0,48,34,25,57
Golden State Warriors,17,11,11,8,8,5,5,1,0,0,60,29,54,35
Boston Celtics,27,6,18,4,9,3,1,1,0,0,46,36,25,57
Chicago Bulls,23,15,17,7,14,2,9,1,1,0,57,30,49,38
New York Knicks,33,7,26,2,21,1,12,0,2,0,63,19,37,45
Toronto Raptors,16,22,8,15,4,11,1,4,0,0,45,44,51,38
Minnesota Timberwolves,9,28,5,18,2,16,0,7,0,1,21,61,40,42
Milwaukee Bucks,21,9,11,5,2,2,0,0,0,0,27,55,15,67
Detroit Pistons,11,23,4,18,0,11,0,6,0,1,17,65,29,53
San Antonio Spurs,21,9,16,3,15,2,8,0,1,0,90,15,78,27
Indiana Pacers,24,8,20,6,14,1,8,0,0,0,82,19,66,35
Brooklyn Nets,25,18,21,12,11,6,2,2,0,0,56,38,49,45
Los Angeles Clippers,16,12,15,4,9,2,4,0,1,0,67,28,63,32
Charlotte Hornets,2,40,1,29,0,22,0,11,0,2,5,81,43,43
Washington Wizards,11,35,6,25,4,18,0,12,0,0,26,67,50,43
Oklahoma City Thunder,21,13,17,10,14,3,6,1,2,0,77,24,69,32
Atlanta Hawks,18,16,10,12,7,6,1,0,0,0,43,46,41,48
Denver Nuggets,37,3,29,1,25,1,17,0,7,0,70,12,36,46
Miami Heat,32,3,30,1,19,0,13,0,3,0,96,6,67,35
Portland Trail Blazers,6,45,1,37,0,27,0,15,0,4,20,73,59,34
Cleveland Cavaliers,5,27,0,21,0,17,0,10,0,3,11,71,33,49
Sacramento Kings,7,20,2,15,0,6,0,6,0,1,15,67,28,54
Houston Rockets,16,17,12,9,5,4,4,2,0,0,55,33,56,32
Dallas Mavericks,15,19,10,11,6,5,1,1,0,0,48,41,52,37
Los Angeles Lakers,30,7,25,5,14,2,8,1,0,0,50,32,27,55
New Orleans Pelicans,8,29,2,23,0,14,0,9,0,0,13,69,34,48
Orlando Magic,1,22,0,18,0,12,0,6,0,1,2,80,23,59
Philadelphia 76ers,22,13,13,7,4,5,0,4,0,1,28,54,19,63
Phoenix Suns,2,41,0,35,0,26,0,13,0,3,9,73,48,34
