win,lose,probability
Cleveland Cavaliers,Washington Wizards,0.546465096734957
Los Angeles Lakers,Dallas Mavericks,0.7076558464072151
Miami Heat,Boston Celtics,0.7161880315313176
Chicago Bulls,Sacramento Kings,0.9133941052791097
Houston Rockets,Detroit Pistons,0.6133391859190203
Los Angeles Clippers,Memphis Grizzlies,0.5525368907579981
San Antonio Spurs,New Orleans Pelicans,0.8885008035715457
Philadelphia 76ers,Denver Nuggets,0.5755652099516863
Phoenix Suns,Golden State Warriors,0.8253529240050699
Los Angeles Lakers,Portland Trail Blazers,0.6435953790167092
Indiana Pacers,Toronto Raptors,0.707158318208762
Utah Jazz,Dallas Mavericks,0.6629108689045224
San Antonio Spurs,Oklahoma City Thunder,0.5645831977057332
Atlanta Hawks,Houston Rockets,0.6812372642206487
Boston Celtics,Milwaukee Bucks,0.7093284897636345
Indiana Pacers,Charlotte Hornets,0.9162467671598429
Chicago Bulls,Cleveland Cavaliers,0.8830927693894883
Memphis Grizzlies,Golden State Warriors,0.7528091194478301
Los Angeles Lakers,Los Angeles Clippers,0.563755389486414
Minnesota Timberwolves,Sacramento Kings,0.6340050383873114
Utah Jazz,New Orleans Pelicans,0.623521010034973
Miami Heat,New York Knicks,0.6748467733335184
Oklahoma City Thunder,Portland Trail Blazers,0.8898435163296988
Denver Nuggets,Orlando Magic,0.5532500324775791
Phoenix Suns,Detroit Pistons,0.7518988427229125
Brooklyn Nets,Toronto Raptors,0.5483363463899882
Chicago Bulls,New Orleans Pelicans,0.902591461657337
Dallas Mavericks,Charlotte Hornets,0.9576751121549587
Houston Rockets,Portland Trail Blazers,0.7243497342340557
Indiana Pacers,Sacramento Kings,0.8806506911655494
Los Angeles Clippers,Golden State Warriors,0.879457377967191
Miami Heat,Denver Nuggets,0.7350251201886193
Milwaukee Bucks,Cleveland Cavaliers,0.8293465717952061
San Antonio Spurs,Utah Jazz,0.8262270924632104
Boston Celtics,Washington Wizards,0.7480020147209485
Los Angeles Lakers,Detroit Pistons,0.8211427813075917
New York Knicks,Philadelphia 76ers,0.631243344356985
Oklahoma City Thunder,Atlanta Hawks,0.7139759268937121
Orlando Magic,Phoenix Suns,0.5338242281851542
Toronto Raptors,Minnesota Timberwolves,0.6109820304681948
Brooklyn Nets,Minnesota Timberwolves,0.5313852481245879
Dallas Mavericks,Portland Trail Blazers,0.7442237202851978
Los Angeles Clippers,Cleveland Cavaliers,0.9005477016047658
Memphis Grizzlies,Utah Jazz,0.6935660166161036
Miami Heat,Phoenix Suns,0.7973130104814957
Philadelphia 76ers,New York Knicks,0.606411118645934
Sacramento Kings,Golden State Warriors,0.6519085759834381
San Antonio Spurs,Indiana Pacers,0.7672964863335473
Chicago Bulls,Orlando Magic,0.8110639426051657
Denver Nuggets,Detroit Pistons,0.8292779428413273
Oklahoma City Thunder,Toronto Raptors,0.9095017795773324
Atlanta Hawks,Indiana Pacers,0.5900912886062927
Boston Celtics,Washington Wizards,0.8719546970524388
Phoenix Suns,Charlotte Hornets,0.8865987985797248
Dallas Mavericks,Toronto Raptors,0.7835476782680725
Golden State Warriors,Cleveland Cavaliers,0.7065627183622311
Denver Nuggets,Houston Rockets,0.5572748046364802
San Antonio Spurs,Los Angeles Clippers,0.712830310862148
Miami Heat,Brooklyn Nets,0.9337245308797233
Memphis Grizzlies,Milwaukee Bucks,0.60142245854056
Orlando Magic,Minnesota Timberwolves,0.5864778869855065
Philadelphia 76ers,New Orleans Pelicans,0.6252854554725782
Sacramento Kings,Detroit Pistons,0.5456625555134093
Utah Jazz,Los Angeles Lakers,0.5173816078685527
Oklahoma City Thunder,Chicago Bulls,0.5062377531994906
Los Angeles Clippers,Portland Trail Blazers,0.6483681002720003
Miami Heat,Atlanta Hawks,0.6329543623441416
Boston Celtics,Philadelphia 76ers,0.6786235842104404
Denver Nuggets,Utah Jazz,0.6680377193260193
Los Angeles Lakers,Golden State Warriors,0.8774378404651271
Memphis Grizzlies,Houston Rockets,0.6997174351449735
Indiana Pacers,Minnesota Timberwolves,0.7105363636095784
New Orleans Pelicans,Charlotte Hornets,0.9139972684478931
New York Knicks,Dallas Mavericks,0.6870127184288702
Oklahoma City Thunder,Detroit Pistons,0.8959921216437118
Orlando Magic,Brooklyn Nets,0.8039679163862185
Phoenix Suns,Cleveland Cavaliers,0.8543416262916951
San Antonio Spurs,Sacramento Kings,0.9062796550699019
Milwaukee Bucks,Washington Wizards,0.616996963461687
Dallas Mavericks,Charlotte Hornets,0.8563484123992834
Chicago Bulls,Minnesota Timberwolves,0.9039092786144628
Denver Nuggets,Golden State Warriors,0.7392599764556225
Houston Rockets,Detroit Pistons,0.7370055912327667
Indiana Pacers,Washington Wizards,0.8890000186656193
Boston Celtics,Milwaukee Bucks,0.6069499418304458
San Antonio Spurs,Portland Trail Blazers,0.8577070993714486
Philadelphia 76ers,Toronto Raptors,0.6278802465552733
Utah Jazz,Phoenix Suns,0.5999169465986687
Orlando Magic,Brooklyn Nets,0.6589889119946459
Los Angeles Clippers,Atlanta Hawks,0.575501017446349
Los Angeles Lakers,Sacramento Kings,0.848685659604144
Miami Heat,Memphis Grizzlies,0.6126400139436724
Oklahoma City Thunder,Cleveland Cavaliers,0.9434152434815564
Chicago Bulls,Boston Celtics,0.6900533005283946
Dallas Mavericks,Minnesota Timberwolves,0.7717495841298971
Oklahoma City Thunder,Detroit Pistons,0.8569046138613965
Miami Heat,Houston Rockets,0.7550998989997318
Philadelphia 76ers,Milwaukee Bucks,0.6944737596980705
Denver Nuggets,Phoenix Suns,0.5378789579084844
Atlanta Hawks,Portland Trail Blazers,0.6417283435772262
Utah Jazz,Toronto Raptors,0.6261207136755775
Brooklyn Nets,Cleveland Cavaliers,0.6682213003186869
Washington Wizards,Charlotte Hornets,0.7032917426608396
Indiana Pacers,Toronto Raptors,0.8757176794097326
San Antonio Spurs,Los Angeles Lakers,0.716686412656809
New York Knicks,Orlando Magic,0.521525151616643
Sacramento Kings,Portland Trail Blazers,0.5296749042663587
Boston Celtics,Utah Jazz,0.6802622089576069
Dallas Mavericks,Washington Wizards,0.8044811651245257
Atlanta Hawks,Golden State Warriors,0.7350204338898505
Houston Rockets,New Orleans Pelicans,0.7504922957450155
Miami Heat,Los Angeles Clippers,0.6487249522761407
Indiana Pacers,Milwaukee Bucks,0.5809090033948734
Minnesota Timberwolves,Charlotte Hornets,0.9118142199250809
Oklahoma City Thunder,Memphis Grizzlies,0.6945266481060567
Philadelphia 76ers,Detroit Pistons,0.8270934042941667
Chicago Bulls,Phoenix Suns,0.6937057165847549
Boston Celtics,Brooklyn Nets,0.7884089421100295
Miami Heat,Denver Nuggets,0.6401335533040282
San Antonio Spurs,New York Knicks,0.7870778835292405
Orlando Magic,Detroit Pistons,0.5763785990727175
Indiana Pacers,Dallas Mavericks,0.7610242586098459
Los Angeles Lakers,Phoenix Suns,0.648591121806351
Memphis Grizzlies,New York Knicks,0.6376374182599833
Minnesota Timberwolves,Golden State Warriors,0.6885814214611993
Oklahoma City Thunder,New Orleans Pelicans,0.858617742344415
Philadelphia 76ers,Utah Jazz,0.6646243716873278
Houston Rockets,Portland Trail Blazers,0.5489102216329134
Atlanta Hawks,Sacramento Kings,0.7418356146978273
Boston Celtics,Toronto Raptors,0.8569608804441219
Memphis Grizzlies,Charlotte Hornets,0.9225350971031211
Dallas Mavericks,Cleveland Cavaliers,0.6760911657650495
Chicago Bulls,Los Angeles Clippers,0.5946551887406202
Milwaukee Bucks,New Orleans Pelicans,0.7293798194498107
Miami Heat,Phoenix Suns,0.7403324426427975
San Antonio Spurs,Denver Nuggets,0.764901709643358
Utah Jazz,Washington Wizards,0.6488456638344027
Boston Celtics,Detroit Pistons,0.7240207484274199
Los Angeles Lakers,Houston Rockets,0.6619558874412522
New York Knicks,Indiana Pacers,0.5446472081627447
Oklahoma City Thunder,Golden State Warriors,0.9307162191049015
Philadelphia 76ers,Cleveland Cavaliers,0.902513348657608
Chicago Bulls,Portland Trail Blazers,0.7808195272466836
Sacramento Kings,Brooklyn Nets,0.6335973065960117
Orlando Magic,Toronto Raptors,0.5825027551519055
Atlanta Hawks,Orlando Magic,0.7135951149691273
Milwaukee Bucks,Charlotte Hornets,0.8686700892767427
Dallas Mavericks,Golden State Warriors,0.828727910086117
Memphis Grizzlies,Denver Nuggets,0.6076553963954971
San Antonio Spurs,Los Angeles Clippers,0.7636189432360089
Utah Jazz,Houston Rockets,0.6140312749558016
Indiana Pacers,Washington Wizards,0.7271045037600488
Los Angeles Lakers,Brooklyn Nets,0.8685991563377089
New York Knicks,New Orleans Pelicans,0.6805367997450473
Philadelphia 76ers,Toronto Raptors,0.8480345119425373
Atlanta Hawks,Washington Wizards,0.869180383715124
San Antonio Spurs,Boston Celtics,0.6933910312377973
Toronto Raptors,Charlotte Hornets,0.7293054678075934
Philadelphia 76ers,Cleveland Cavaliers,0.7280005176750455
New York Knicks,Dallas Mavericks,0.500138756020668
Golden State Warriors,Brooklyn Nets,0.641749633853619
Chicago Bulls,Houston Rockets,0.7100864641099095
Indiana Pacers,New Orleans Pelicans,0.8663614099561859
Miami Heat,Milwaukee Bucks,0.822998213501769
Denver Nuggets,Minnesota Timberwolves,0.713277336755952
Oklahoma City Thunder,Los Angeles Clippers,0.708017123924227
Orlando Magic,Detroit Pistons,0.7401524340407241
Phoenix Suns,Portland Trail Blazers,0.7397065607239421
Los Angeles Lakers,Sacramento Kings,0.7433895752467311
Oklahoma City Thunder,Boston Celtics,0.6328259094125503
Los Angeles Clippers,Brooklyn Nets,0.7734407468950628
