Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1.0,Memphis Grizzlies,82,241.5,33.5,77.0,0.435,6.1,18.2,0.33799999999999997,27.4,58.8,0.465,16.1,21.5,0.748,10.3,28.8,39.1,19.5,7.3,5.5,15.5,20.0,89.3
2.0,Indiana Pacers,81,241.9,34.5,82.2,0.42,5.4,16.6,0.327,29.1,65.6,0.444,16.2,21.3,0.76,11.2,29.6,40.9,19.2,7.5,5.7,13.5,21.9,90.7
3.0,Chicago Bulls,82,241.8,35.4,80.1,0.44299999999999995,5.5,16.0,0.34600000000000003,29.9,64.1,0.467,16.5,22.3,0.7390000000000001,11.0,30.1,41.1,18.8,7.3,5.8,13.7,19.6,92.9
4.0,Los Angeles Clippers,82,240.6,34.6,78.0,0.44299999999999995,7.6,20.5,0.373,26.9,57.5,0.46799999999999997,17.9,23.9,0.7490000000000001,10.9,28.2,39.1,22.1,7.4,4.1,16.1,20.9,94.6
5.0,Miami Heat,82,242.4,35.6,80.9,0.44,7.6,21.7,0.35,28.0,59.1,0.473,16.2,21.2,0.7659999999999999,11.2,28.9,40.1,20.2,7.9,3.2,15.6,20.4,95.0
6.0,Brooklyn Nets,82,242.1,37.4,80.7,0.46399999999999997,6.3,17.3,0.366,31.1,63.4,0.49,14.0,19.2,0.731,10.7,28.5,39.2,21.4,7.5,4.8,13.4,21.4,95.1
7.0,Boston Celtics,81,244.9,36.1,82.0,0.441,6.8,19.9,0.342,29.3,62.1,0.47200000000000003,17.7,23.9,0.74,11.4,32.1,43.6,21.6,7.8,4.7,15.3,19.4,96.7
8.0,New York Knicks,82,240.6,35.6,77.6,0.45799999999999996,7.8,21.8,0.35700000000000004,27.8,55.8,0.498,16.8,22.2,0.757,10.0,31.6,41.6,19.3,6.4,4.0,15.1,19.2,95.7
9.0,Washington Wizards,82,242.1,35.9,81.7,0.44,7.1,20.5,0.349,28.8,61.2,0.47,16.8,22.8,0.738,11.0,33.2,44.2,21.5,7.8,4.4,14.5,19.1,95.8
10.0,Philadelphia 76ers,82,240.9,36.8,81.0,0.45399999999999996,6.7,19.2,0.349,30.1,61.8,0.48700000000000004,16.2,21.4,0.76,11.0,33.0,44.0,22.8,7.2,4.8,14.3,16.2,96.5
11.0,Oklahoma City Thunder,82,241.8,36.2,85.0,0.425,7.4,21.5,0.34600000000000003,28.7,63.5,0.452,16.7,21.6,0.774,12.0,28.7,40.7,20.5,8.2,3.9,14.8,20.7,96.5
