Visitor/Neutral,Home/Neutral
Washington Wizards,Cleveland Cavaliers
Dallas Mavericks,Los Angeles Lakers
Boston Celtics,Miami Heat
Sacramento Kings,Chicago Bulls
Houston Rockets,Detroit Pistons
Memphis Grizzlies,Los Angeles Clippers
San Antonio Spurs,New Orleans Pelicans
Denver Nuggets,Philadelphia 76ers
Golden State Warriors,Phoenix Suns
Los Angeles Lakers,Portland Trail Blazers
Indiana Pacers,Toronto Raptors
Dallas Mavericks,Utah Jazz
Oklahoma City Thunder,San Antonio Spurs
Houston Rockets,Atlanta Hawks
Milwaukee Bucks,Boston Celtics
Indiana Pacers,Charlotte Hornets
Chicago Bulls,Cleveland Cavaliers
Memphis Grizzlies,Golden State Warriors
Los Angeles Clippers,Los Angeles Lakers
Sacramento Kings,Minnesota Timberwolves
Utah Jazz,New Orleans Pelicans
Miami Heat,New York Knicks
Portland Trail Blazers,Oklahoma City Thunder
Denver Nuggets,Orlando Magic
Detroit Pistons,Phoenix Suns
Toronto Raptors,Brooklyn Nets
New Orleans Pelicans,Chicago Bulls
Charlotte Hornets,Dallas Mavericks
Portland Trail Blazers,Houston Rockets
Sacramento Kings,Indiana Pacers
Golden State Warriors,Los Angeles Clippers
Denver Nuggets,Miami Heat
Cleveland Cavaliers,Milwaukee Bucks
Utah Jazz,San Antonio Spurs
Boston Celtics,Washington Wizards
Detroit Pistons,Los Angeles Lakers
Philadelphia 76ers,New York Knicks
Atlanta Hawks,Oklahoma City Thunder
Phoenix Suns,Orlando Magic
Minnesota Timberwolves,Toronto Raptors
Minnesota Timberwolves,Brooklyn Nets
Portland Trail Blazers,Dallas Mavericks
Cleveland Cavaliers,Los Angeles Clippers
Utah Jazz,Memphis Grizzlies
Phoenix Suns,Miami Heat
New York Knicks,Philadelphia 76ers
Golden State Warriors,Sacramento Kings
Indiana Pacers,San Antonio Spurs
Orlando Magic,Chicago Bulls
Detroit Pistons,Denver Nuggets
Toronto Raptors,Oklahoma City Thunder
