,0.5/mis_W,0.5/mis_L,0.6/mis_W,0.6/mis_L,0.7/mis_W,0.7/mis_L,0.8/mis_W,0.8/mis_L,0.9/mis_W,0.9/mis_L,pred_W,pred_L,true_W,true_L
Memphis Grizzlies,15,15,11,10,4,0,2,0,0,0,64,33,64,33
Utah Jazz,12,7,6,4,2,2,1,0,0,0,48,34,43,39
Golden State Warriors,1,39,1,38,0,26,0,14,0,5,15,79,53,41
Boston Celtics,27,9,24,4,17,0,7,0,3,0,61,26,43,44
Chicago Bulls,34,3,26,0,23,0,16,0,5,0,81,13,50,44
New York Knicks,17,13,11,12,8,5,3,0,1,0,64,30,60,34
Toronto Raptors,8,25,7,21,3,13,0,6,0,1,17,65,34,48
Minnesota Timberwolves,8,24,6,19,2,13,1,6,1,1,15,67,31,51
Milwaukee Bucks,16,14,11,8,8,6,3,3,0,0,40,46,38,48
Detroit Pistons,7,17,7,12,1,10,1,4,1,0,19,63,29,53
San Antonio Spurs,30,0,22,0,20,0,12,0,6,0,103,0,73,30
Indiana Pacers,18,14,15,3,10,2,5,0,1,0,64,36,60,40
Brooklyn Nets,2,39,1,37,0,27,0,16,0,2,15,74,52,37
Los Angeles Clippers,17,14,11,7,9,3,3,0,1,0,61,27,58,30
Charlotte Hornets,0,21,0,21,0,20,0,15,0,10,0,82,21,61
Washington Wizards,10,23,8,23,4,15,1,7,1,0,16,66,29,53
Oklahoma City Thunder,24,2,24,0,14,0,7,0,2,0,87,6,65,28
Atlanta Hawks,20,5,16,2,13,1,6,0,1,0,61,27,46,42
Denver Nuggets,16,11,13,8,12,4,3,0,0,0,64,24,59,29
Miami Heat,20,6,13,0,8,0,4,0,1,0,96,9,82,23
Portland Trail Blazers,7,23,5,15,5,9,0,6,0,1,17,65,33,49
Cleveland Cavaliers,5,19,1,18,0,15,0,8,0,5,10,72,24,58
Sacramento Kings,3,17,1,16,0,8,0,1,0,0,14,68,28,54
Houston Rockets,10,18,7,9,2,6,1,1,0,0,39,49,47,41
Dallas Mavericks,10,14,6,6,5,2,3,0,0,0,37,45,41,41
Los Angeles Lakers,19,5,10,3,6,1,1,0,0,0,59,27,45,41
New Orleans Pelicans,7,18,6,17,0,13,0,7,0,1,16,66,27,55
Orlando Magic,26,6,19,4,11,1,6,0,2,0,40,42,20,62
Philadelphia 76ers,23,5,16,5,9,1,5,0,0,0,52,30,34,48
Phoenix Suns,24,10,21,3,9,2,4,1,0,0,39,43,25,57
